day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,rf,heuristic,0.7163,0.6418,0.6938,0.6938,0.677
07-29,rf,node2vec,0.6664,0.766,0.6913,0.6913,0.7127
07-29,rf,deepwalk,0.707,0.5664,0.6658,0.6658,0.6289
07-30,rf,heuristic,0.7111,0.6293,0.6868,0.6868,0.6677
07-30,rf,node2vec,0.6684,0.7684,0.6936,0.6936,0.7149
07-30,rf,deepwalk,0.7069,0.564,0.665,0.665,0.6274
07-31,rf,heuristic,0.7136,0.6332,0.6895,0.6895,0.671
07-31,rf,node2vec,0.6634,0.7582,0.6868,0.6868,0.7077
07-31,rf,deepwalk,0.7051,0.5616,0.6634,0.6634,0.6252
08-01,rf,heuristic,0.7102,0.6208,0.6837,0.6837,0.6625
08-01,rf,node2vec,0.6657,0.7633,0.69,0.69,0.7112
08-01,rf,deepwalk,0.7048,0.5625,0.6634,0.6634,0.6257
08-02,rf,heuristic,0.7113,0.6311,0.6875,0.6875,0.6688
08-02,rf,node2vec,0.6667,0.7665,0.6916,0.6916,0.7131
08-02,rf,deepwalk,0.7081,0.5689,0.6672,0.6672,0.6309
08-03,rf,heuristic,0.7163,0.636,0.692,0.692,0.6737
08-03,rf,node2vec,0.6678,0.7687,0.6932,0.6932,0.7148
08-03,rf,deepwalk,0.7082,0.57,0.6676,0.6676,0.6317
08-04,rf,heuristic,0.714,0.6379,0.6912,0.6912,0.6738
08-04,rf,node2vec,0.6619,0.7528,0.6841,0.6841,0.7044
08-04,rf,deepwalk,0.7062,0.566,0.6652,0.6652,0.6283
08-05,rf,heuristic,0.7179,0.652,0.6979,0.6979,0.6833
08-05,rf,node2vec,0.6648,0.7633,0.6892,0.6892,0.7107
08-05,rf,deepwalk,0.7063,0.5688,0.6661,0.6661,0.6301
08-06,rf,heuristic,0.7161,0.6405,0.6933,0.6933,0.6762
08-06,rf,node2vec,0.6667,0.7649,0.6913,0.6913,0.7124
08-06,rf,deepwalk,0.7068,0.567,0.6659,0.6659,0.6293
