size,model,precision,recall,roc_auc,accuracy,f1_score
999999,xgb,0.6909,0.5986,0.6654,0.6654,0.6415
999999,rf,0.6909,0.5984,0.6654,0.6654,0.6414
1999999,xgb,0.6818,0.6014,0.6603,0.6603,0.639
1999999,rf,0.6818,0.6007,0.6602,0.6602,0.6387
