day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-28,xgb,heuristic,0.7229,0.6562,0.7023,0.7023,0.6879
07-28,rf,heuristic,0.7229,0.6562,0.7023,0.7023,0.6879
07-28,xgb,node2vec,0.6523,0.7651,0.6786,0.6786,0.7042
07-28,rf,node2vec,0.6523,0.7651,0.6786,0.6786,0.7042
07-28,xgb,deepwalk,0.6536,0.6168,0.6449,0.6449,0.6346
07-28,rf,deepwalk,0.6536,0.6168,0.6449,0.6449,0.6346
07-29,xgb,heuristic,0.7242,0.6643,0.7056,0.7056,0.693
07-29,rf,heuristic,0.7242,0.6643,0.7056,0.7056,0.693
07-29,xgb,node2vec,0.6598,0.7914,0.6917,0.6917,0.7196
07-29,rf,node2vec,0.6598,0.7914,0.6917,0.6917,0.7196
07-29,xgb,deepwalk,0.6614,0.6161,0.6503,0.6503,0.6379
07-29,rf,deepwalk,0.6614,0.6161,0.6503,0.6503,0.6379
07-30,xgb,heuristic,0.7238,0.6535,0.7021,0.7021,0.6869
07-30,rf,heuristic,0.7238,0.6535,0.7021,0.7021,0.6869
07-30,xgb,node2vec,0.6551,0.7763,0.6837,0.6837,0.7105
07-30,rf,node2vec,0.6551,0.7763,0.6837,0.6837,0.7105
07-30,xgb,deepwalk,0.641,0.5792,0.6274,0.6274,0.6085
07-30,rf,deepwalk,0.641,0.5792,0.6274,0.6274,0.6085
07-31,xgb,heuristic,0.7217,0.6569,0.7018,0.7018,0.6878
07-31,rf,heuristic,0.7217,0.6569,0.7018,0.7018,0.6878
07-31,xgb,node2vec,0.6517,0.7672,0.6786,0.6786,0.7047
07-31,rf,node2vec,0.6517,0.7672,0.6786,0.6786,0.7047
07-31,xgb,deepwalk,0.6724,0.6203,0.659,0.659,0.6453
07-31,rf,deepwalk,0.6724,0.6203,0.659,0.659,0.6453
08-02,xgb,heuristic,0.7234,0.6566,0.7028,0.7028,0.6884
08-02,rf,heuristic,0.7234,0.6566,0.7028,0.7028,0.6884
08-02,xgb,node2vec,0.6503,0.7608,0.6758,0.6758,0.7012
08-02,rf,node2vec,0.6503,0.7608,0.6758,0.6758,0.7012
08-02,xgb,deepwalk,0.6502,0.6047,0.6397,0.6397,0.6266
08-02,rf,deepwalk,0.6502,0.6047,0.6397,0.6397,0.6266
08-03,xgb,heuristic,0.723,0.665,0.7051,0.7051,0.6928
08-03,rf,heuristic,0.723,0.665,0.7051,0.7051,0.6928
08-03,xgb,node2vec,0.6523,0.7724,0.6803,0.6803,0.7073
08-03,rf,node2vec,0.6523,0.7724,0.6803,0.6803,0.7073
08-03,xgb,deepwalk,0.6607,0.6041,0.6469,0.6469,0.6311
08-03,rf,deepwalk,0.6607,0.6041,0.6469,0.6469,0.6311
08-04,xgb,heuristic,0.7253,0.6646,0.7064,0.7064,0.6936
08-04,rf,heuristic,0.7253,0.6646,0.7064,0.7064,0.6936
08-04,xgb,node2vec,0.6549,0.7711,0.6824,0.6824,0.7082
08-04,rf,node2vec,0.6549,0.7711,0.6824,0.6824,0.7082
08-04,xgb,deepwalk,0.6571,0.6089,0.6456,0.6456,0.6321
08-04,rf,deepwalk,0.6571,0.6089,0.6456,0.6456,0.6321
08-05,xgb,heuristic,0.7287,0.6757,0.712,0.712,0.7012
08-05,rf,heuristic,0.7287,0.6757,0.712,0.712,0.7012
08-05,xgb,node2vec,0.6466,0.7528,0.6707,0.6707,0.6957
08-05,rf,node2vec,0.6466,0.7528,0.6707,0.6707,0.6957
08-05,xgb,deepwalk,0.6403,0.594,0.6301,0.6301,0.6163
08-05,rf,deepwalk,0.6403,0.594,0.6301,0.6301,0.6163
08-06,xgb,heuristic,0.7258,0.6645,0.7067,0.7067,0.6938
08-06,rf,heuristic,0.7258,0.6645,0.7067,0.7067,0.6938
08-06,xgb,node2vec,0.6535,0.7753,0.6821,0.6821,0.7092
08-06,rf,node2vec,0.6535,0.7753,0.6821,0.6821,0.7092
08-06,xgb,deepwalk,0.6645,0.6303,0.656,0.656,0.6469
08-06,rf,deepwalk,0.6645,0.6303,0.656,0.656,0.6469
08-07,xgb,heuristic,0.7311,0.6806,0.7151,0.7151,0.7049
08-07,rf,heuristic,0.7311,0.6806,0.7151,0.7151,0.7049
08-07,xgb,node2vec,0.6434,0.7398,0.6649,0.6649,0.6882
08-07,rf,node2vec,0.6434,0.7398,0.6649,0.6649,0.6882
08-07,xgb,deepwalk,0.6439,0.5929,0.6325,0.6325,0.6173
08-07,rf,deepwalk,0.6439,0.5929,0.6325,0.6325,0.6173
08-08,xgb,heuristic,0.7312,0.6754,0.7136,0.7136,0.7022
08-08,rf,heuristic,0.7312,0.6754,0.7136,0.7136,0.7022
08-08,xgb,node2vec,0.6421,0.7347,0.6626,0.6626,0.6853
08-08,rf,node2vec,0.6421,0.7347,0.6626,0.6626,0.6853
08-08,xgb,deepwalk,0.6586,0.6014,0.6448,0.6448,0.6287
08-08,rf,deepwalk,0.6586,0.6014,0.6448,0.6448,0.6287
08-09,xgb,heuristic,0.7224,0.6608,0.7035,0.7035,0.6903
08-09,rf,heuristic,0.7224,0.6608,0.7035,0.7035,0.6903
08-09,xgb,node2vec,0.6601,0.7994,0.6939,0.6939,0.7231
08-09,rf,node2vec,0.6601,0.7994,0.6939,0.6939,0.7231
08-09,xgb,deepwalk,0.6571,0.6108,0.646,0.646,0.6331
08-09,rf,deepwalk,0.6571,0.6108,0.646,0.646,0.6331
08-10,xgb,heuristic,0.7277,0.6702,0.7097,0.7097,0.6978
08-10,rf,heuristic,0.7277,0.6702,0.7097,0.7097,0.6978
08-10,xgb,node2vec,0.6691,0.8231,0.708,0.708,0.7382
08-10,rf,node2vec,0.6691,0.8231,0.708,0.708,0.7382
08-10,xgb,deepwalk,0.6511,0.6152,0.6428,0.6428,0.6326
08-10,rf,deepwalk,0.6511,0.6152,0.6428,0.6428,0.6326
08-11,xgb,heuristic,0.7245,0.6623,0.7052,0.7052,0.692
08-11,rf,heuristic,0.7245,0.6623,0.7052,0.7052,0.692
08-11,xgb,node2vec,0.6567,0.7893,0.6883,0.6883,0.7169
08-11,rf,node2vec,0.6567,0.7893,0.6883,0.6883,0.7169
08-11,xgb,deepwalk,0.6517,0.6048,0.6408,0.6408,0.6274
08-11,rf,deepwalk,0.6517,0.6048,0.6408,0.6408,0.6274
08-12,xgb,heuristic,0.7272,0.6704,0.7095,0.7095,0.6976
08-12,rf,heuristic,0.7272,0.6704,0.7095,0.7095,0.6976
08-12,xgb,node2vec,0.661,0.7934,0.6933,0.6933,0.7212
08-12,rf,node2vec,0.661,0.7934,0.6933,0.6933,0.7212
08-12,xgb,deepwalk,0.6541,0.6065,0.6429,0.6429,0.6294
08-12,rf,deepwalk,0.6541,0.6065,0.6429,0.6429,0.6294
08-13,xgb,heuristic,0.726,0.6591,0.7051,0.7051,0.6909
08-13,rf,heuristic,0.726,0.6591,0.7051,0.7051,0.6909
08-13,xgb,node2vec,0.6591,0.7903,0.6908,0.6908,0.7188
08-13,rf,node2vec,0.6591,0.7903,0.6908,0.6908,0.7188
08-13,xgb,deepwalk,0.6445,0.5942,0.6332,0.6332,0.6183
08-13,rf,deepwalk,0.6445,0.5942,0.6332,0.6332,0.6183
08-14,xgb,heuristic,0.7264,0.6715,0.7093,0.7093,0.6979
08-14,rf,heuristic,0.7264,0.6715,0.7093,0.7093,0.6979
08-14,xgb,node2vec,0.6539,0.7749,0.6824,0.6824,0.7093
08-14,rf,node2vec,0.6539,0.7749,0.6824,0.6824,0.7093
08-14,xgb,deepwalk,0.6684,0.6224,0.6569,0.6569,0.6446
08-14,rf,deepwalk,0.6684,0.6224,0.6569,0.6569,0.6446
08-15,xgb,heuristic,0.7281,0.6729,0.7108,0.7108,0.6994
08-15,rf,heuristic,0.7281,0.6729,0.7108,0.7108,0.6994
08-15,xgb,node2vec,0.6559,0.785,0.6866,0.6866,0.7147
08-15,rf,node2vec,0.6559,0.785,0.6866,0.6866,0.7147
08-15,xgb,deepwalk,0.6644,0.6044,0.6495,0.6495,0.633
08-15,rf,deepwalk,0.6644,0.6044,0.6495,0.6495,0.633
08-16,xgb,heuristic,0.7238,0.6658,0.7058,0.7058,0.6936
08-16,rf,heuristic,0.7238,0.6658,0.7058,0.7058,0.6936
08-16,xgb,node2vec,0.6504,0.7716,0.6784,0.6784,0.7059
08-16,rf,node2vec,0.6504,0.7716,0.6784,0.6784,0.7059
08-16,xgb,deepwalk,0.6517,0.605,0.6408,0.6408,0.6275
08-16,rf,deepwalk,0.6517,0.605,0.6408,0.6408,0.6275
08-17,xgb,heuristic,0.725,0.6614,0.7053,0.7053,0.6918
08-17,rf,heuristic,0.725,0.6614,0.7053,0.7053,0.6918
08-17,xgb,node2vec,0.6668,0.8257,0.7065,0.7065,0.7378
08-17,rf,node2vec,0.6668,0.8257,0.7065,0.7065,0.7378
08-17,xgb,deepwalk,0.6492,0.5987,0.6376,0.6376,0.6229
08-17,rf,deepwalk,0.6492,0.5987,0.6376,0.6376,0.6229
08-18,xgb,heuristic,0.7214,0.6577,0.7018,0.7018,0.6881
08-18,rf,heuristic,0.7214,0.6577,0.7018,0.7018,0.6881
08-18,xgb,node2vec,0.6574,0.7848,0.6878,0.6878,0.7154
08-18,rf,node2vec,0.6574,0.7848,0.6878,0.6878,0.7154
08-18,xgb,deepwalk,0.6478,0.6182,0.641,0.641,0.6326
08-18,rf,deepwalk,0.6478,0.6182,0.641,0.641,0.6326
08-19,xgb,heuristic,0.7262,0.6638,0.7068,0.7068,0.6936
08-19,rf,heuristic,0.7262,0.6638,0.7068,0.7068,0.6936
08-19,xgb,node2vec,0.6602,0.7981,0.6936,0.6936,0.7226
08-19,rf,node2vec,0.6602,0.7981,0.6936,0.6936,0.7226
08-19,xgb,deepwalk,0.658,0.6218,0.6493,0.6493,0.6394
08-19,rf,deepwalk,0.658,0.6218,0.6493,0.6493,0.6394
08-20,xgb,heuristic,0.7263,0.6701,0.7088,0.7088,0.6971
08-20,rf,heuristic,0.7263,0.6701,0.7088,0.7088,0.6971
08-20,xgb,node2vec,0.6558,0.7753,0.6842,0.6842,0.7106
08-20,rf,node2vec,0.6558,0.7753,0.6842,0.6842,0.7106
08-20,xgb,deepwalk,0.6436,0.5958,0.6329,0.6329,0.6188
08-20,rf,deepwalk,0.6436,0.5958,0.6329,0.6329,0.6188
08-21,xgb,heuristic,0.7249,0.6637,0.7059,0.7059,0.693
08-21,rf,heuristic,0.7249,0.6637,0.7059,0.7059,0.693
08-21,xgb,node2vec,0.6559,0.7782,0.6849,0.6849,0.7118
08-21,rf,node2vec,0.6559,0.7782,0.6849,0.6849,0.7118
08-21,xgb,deepwalk,0.661,0.6156,0.65,0.65,0.6375
08-21,rf,deepwalk,0.661,0.6156,0.65,0.65,0.6375
08-22,xgb,heuristic,0.7244,0.6632,0.7054,0.7054,0.6924
08-22,rf,heuristic,0.7244,0.6632,0.7054,0.7054,0.6924
08-22,xgb,node2vec,0.6618,0.7979,0.6951,0.6951,0.7235
08-22,rf,node2vec,0.6618,0.7979,0.6951,0.6951,0.7235
08-22,xgb,deepwalk,0.6481,0.5961,0.6362,0.6362,0.621
08-22,rf,deepwalk,0.6481,0.5961,0.6362,0.6362,0.621
08-23,xgb,heuristic,0.7238,0.6594,0.7039,0.7039,0.6901
08-23,rf,heuristic,0.7238,0.6594,0.7039,0.7039,0.6901
08-23,xgb,node2vec,0.657,0.7876,0.6882,0.6882,0.7164
08-23,rf,node2vec,0.657,0.7876,0.6882,0.6882,0.7164
08-23,xgb,deepwalk,0.649,0.6156,0.6413,0.6413,0.6319
08-23,rf,deepwalk,0.649,0.6156,0.6413,0.6413,0.6319
08-24,xgb,heuristic,0.7243,0.6566,0.7033,0.7033,0.6888
08-24,rf,heuristic,0.7243,0.6566,0.7033,0.7033,0.6888
08-24,xgb,node2vec,0.6594,0.7919,0.6914,0.6914,0.7196
08-24,rf,node2vec,0.6594,0.7919,0.6914,0.6914,0.7196
08-24,xgb,deepwalk,0.6472,0.5975,0.6359,0.6359,0.6214
08-24,rf,deepwalk,0.6472,0.5975,0.6359,0.6359,0.6214
08-25,xgb,heuristic,0.7263,0.6585,0.7052,0.7052,0.6907
08-25,rf,heuristic,0.7263,0.6585,0.7052,0.7052,0.6907
08-25,xgb,node2vec,0.6627,0.8078,0.6983,0.6983,0.7281
08-25,rf,node2vec,0.6627,0.8078,0.6983,0.6983,0.7281
08-25,xgb,deepwalk,0.6561,0.6046,0.6438,0.6438,0.6293
08-25,rf,deepwalk,0.6561,0.6046,0.6438,0.6438,0.6293
08-26,xgb,heuristic,0.7261,0.664,0.7068,0.7068,0.6937
08-26,rf,heuristic,0.7261,0.664,0.7068,0.7068,0.6937
08-26,xgb,node2vec,0.6543,0.7724,0.6822,0.6822,0.7085
08-26,rf,node2vec,0.6543,0.7724,0.6822,0.6822,0.7085
08-26,xgb,deepwalk,0.6505,0.6048,0.64,0.64,0.6268
08-26,rf,deepwalk,0.6505,0.6048,0.64,0.64,0.6268
08-27,xgb,heuristic,0.7249,0.6596,0.7046,0.7046,0.6907
08-27,rf,heuristic,0.7249,0.6596,0.7046,0.7046,0.6907
08-27,xgb,node2vec,0.6565,0.7859,0.6873,0.6873,0.7154
08-27,rf,node2vec,0.6565,0.7859,0.6873,0.6873,0.7154
08-27,xgb,deepwalk,0.655,0.6009,0.6422,0.6422,0.6268
08-27,rf,deepwalk,0.655,0.6009,0.6422,0.6422,0.6268
08-29,xgb,heuristic,0.7236,0.6498,0.7008,0.7008,0.6847
08-29,rf,heuristic,0.7236,0.6498,0.7008,0.7008,0.6847
08-29,xgb,node2vec,0.6634,0.8039,0.698,0.698,0.7269
08-29,rf,node2vec,0.6634,0.8039,0.698,0.698,0.7269
08-29,xgb,deepwalk,0.662,0.6165,0.6509,0.6509,0.6384
08-29,rf,deepwalk,0.662,0.6165,0.6509,0.6509,0.6384
08-30,xgb,heuristic,0.7221,0.647,0.699,0.699,0.6825
08-30,rf,heuristic,0.7221,0.647,0.699,0.699,0.6825
08-30,xgb,node2vec,0.6607,0.7892,0.692,0.692,0.7193
08-30,rf,node2vec,0.6607,0.7892,0.692,0.692,0.7193
08-30,xgb,deepwalk,0.6457,0.606,0.6367,0.6367,0.6252
08-30,rf,deepwalk,0.6457,0.606,0.6367,0.6367,0.6252
