day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,rf,heuristic,0.7272,0.6635,0.7073,0.7073,0.6939
07-29,rf,node2vec,0.4322,0.4137,0.4351,0.4351,0.4227
07-29,rf,deepwalk,0.6744,0.627,0.6622,0.6622,0.6499
07-30,rf,heuristic,0.7249,0.6549,0.7032,0.7032,0.6882
07-30,rf,node2vec,0.4301,0.4118,0.4331,0.4331,0.4208
07-30,rf,deepwalk,0.6726,0.6254,0.6605,0.6605,0.6482
07-31,rf,heuristic,0.7271,0.6559,0.7049,0.7049,0.6897
07-31,rf,node2vec,0.4329,0.4157,0.4356,0.4356,0.4241
07-31,rf,deepwalk,0.6727,0.6198,0.6591,0.6591,0.6452
08-01,rf,heuristic,0.7206,0.6515,0.6994,0.6994,0.6843
08-01,rf,node2vec,0.4288,0.4087,0.4322,0.4322,0.4185
08-01,rf,deepwalk,0.6692,0.6229,0.6575,0.6575,0.6452
08-02,rf,heuristic,0.7228,0.6574,0.7027,0.7027,0.6886
08-02,rf,node2vec,0.4225,0.4012,0.4264,0.4264,0.4115
08-02,rf,deepwalk,0.6755,0.6248,0.6623,0.6623,0.6491
08-03,rf,heuristic,0.7252,0.663,0.7059,0.7059,0.6927
08-03,rf,node2vec,0.4165,0.3896,0.4219,0.4219,0.4026
08-03,rf,deepwalk,0.6714,0.6256,0.6597,0.6597,0.6477
08-04,rf,heuristic,0.7222,0.6599,0.703,0.703,0.6897
08-04,rf,node2vec,0.434,0.416,0.4367,0.4367,0.4248
08-04,rf,deepwalk,0.672,0.6241,0.6598,0.6598,0.6472
08-05,rf,heuristic,0.7281,0.6748,0.7114,0.7114,0.7004
08-05,rf,node2vec,0.4264,0.4046,0.4301,0.4301,0.4152
08-05,rf,deepwalk,0.6729,0.6241,0.6604,0.6604,0.6476
08-06,rf,heuristic,0.7251,0.6618,0.7055,0.7055,0.692
08-06,rf,node2vec,0.4295,0.4074,0.4331,0.4331,0.4182
08-06,rf,deepwalk,0.6734,0.6264,0.6613,0.6613,0.6491
08-07,rf,heuristic,0.7283,0.6786,0.7128,0.7128,0.7026
08-07,rf,node2vec,0.4423,0.4338,0.4434,0.4434,0.438
08-07,rf,deepwalk,0.6693,0.6161,0.6559,0.6559,0.6416
08-08,rf,heuristic,0.7293,0.6764,0.7126,0.7126,0.7018
08-08,rf,node2vec,0.4498,0.4438,0.4504,0.4504,0.4468
08-08,rf,deepwalk,0.6693,0.6188,0.6565,0.6565,0.6431
08-09,rf,heuristic,0.7235,0.6587,0.7035,0.7035,0.6896
08-09,rf,node2vec,0.416,0.3898,0.4213,0.4213,0.4025
08-09,rf,deepwalk,0.672,0.627,0.6605,0.6605,0.6487
08-10,rf,heuristic,0.7297,0.6737,0.7121,0.7121,0.7006
08-10,rf,node2vec,0.3931,0.3504,0.4047,0.4047,0.3705
08-10,rf,deepwalk,0.6731,0.6267,0.6612,0.6612,0.6491
08-11,rf,heuristic,0.7233,0.6592,0.7035,0.7035,0.6898
08-11,rf,node2vec,0.4184,0.3899,0.424,0.424,0.4037
08-11,rf,deepwalk,0.6751,0.6275,0.6628,0.6628,0.6504
08-12,rf,heuristic,0.729,0.6693,0.7102,0.7102,0.6979
08-12,rf,node2vec,0.4272,0.4071,0.4307,0.4307,0.4169
08-12,rf,deepwalk,0.6741,0.628,0.6622,0.6622,0.6502
08-13,rf,heuristic,0.7276,0.6687,0.7092,0.7092,0.6969
08-13,rf,node2vec,0.4313,0.4117,0.4344,0.4344,0.4213
