day,model,method,precision,recall,roc_auc,accuracy,f1_score
08-13,rf,deepwalk,0.6735,0.6236,0.6606,0.6606,0.6476
08-14,rf,heuristic,0.7296,0.6792,0.7137,0.7137,0.7035
08-14,rf,node2vec,0.4374,0.4258,0.4391,0.4391,0.4315
08-14,rf,deepwalk,0.671,0.6187,0.6577,0.6577,0.6438
08-15,rf,heuristic,0.7321,0.6791,0.7153,0.7153,0.7046
08-15,rf,node2vec,0.4233,0.4,0.4275,0.4275,0.4113
08-15,rf,deepwalk,0.6723,0.6235,0.6598,0.6598,0.647
08-16,rf,heuristic,0.7265,0.6712,0.7093,0.7093,0.6977
08-16,rf,node2vec,0.4086,0.3756,0.416,0.416,0.3914
08-16,rf,deepwalk,0.6738,0.628,0.662,0.662,0.6501
08-17,rf,heuristic,0.726,0.6626,0.7063,0.7063,0.6929
08-17,rf,node2vec,0.4119,0.3814,0.4184,0.4184,0.3961
08-17,rf,deepwalk,0.672,0.6259,0.6602,0.6602,0.6482
08-18,rf,heuristic,0.7209,0.6547,0.7006,0.7006,0.6862
08-18,rf,node2vec,0.4223,0.3964,0.427,0.427,0.4089
08-18,rf,deepwalk,0.6706,0.6227,0.6584,0.6584,0.6458
08-19,rf,heuristic,0.728,0.6656,0.7085,0.7085,0.6954
08-19,rf,node2vec,0.4132,0.3853,0.4191,0.4191,0.3988
08-19,rf,deepwalk,0.6736,0.6295,0.6623,0.6623,0.6508
08-20,rf,heuristic,0.7277,0.6706,0.7098,0.7098,0.698
08-20,rf,node2vec,0.4186,0.393,0.4236,0.4236,0.4054
08-20,rf,deepwalk,0.6739,0.627,0.6618,0.6618,0.6496
08-21,rf,heuristic,0.7286,0.6735,0.7113,0.7113,0.7
08-21,rf,node2vec,0.425,0.4063,0.4283,0.4283,0.4154
08-21,rf,deepwalk,0.6758,0.6246,0.6625,0.6625,0.6492
08-22,rf,heuristic,0.7256,0.6654,0.7069,0.7069,0.6942
08-22,rf,node2vec,0.4126,0.3849,0.4185,0.4185,0.3983
08-22,rf,deepwalk,0.6724,0.6281,0.661,0.661,0.6495
08-23,rf,heuristic,0.7267,0.6628,0.7068,0.7068,0.6933
08-23,rf,node2vec,0.4169,0.3891,0.4225,0.4225,0.4025
08-23,rf,deepwalk,0.6702,0.6251,0.6587,0.6587,0.6468
08-24,rf,heuristic,0.7261,0.6622,0.7062,0.7062,0.6927
08-24,rf,node2vec,0.4119,0.3826,0.4181,0.4181,0.3967
08-24,rf,deepwalk,0.6734,0.6271,0.6615,0.6615,0.6494
08-25,rf,heuristic,0.7274,0.6625,0.7071,0.7071,0.6935
08-25,rf,node2vec,0.4188,0.3904,0.4243,0.4243,0.4041
08-25,rf,deepwalk,0.6731,0.6274,0.6614,0.6614,0.6495
08-26,rf,heuristic,0.7231,0.6643,0.7049,0.7049,0.6925
08-26,rf,node2vec,0.4205,0.3952,0.4253,0.4253,0.4074
08-26,rf,deepwalk,0.6751,0.6277,0.6628,0.6628,0.6505
08-27,rf,heuristic,0.7216,0.6638,0.7039,0.7039,0.6915
08-27,rf,node2vec,0.4197,0.3931,0.4247,0.4247,0.406
08-27,rf,deepwalk,0.6764,0.6267,0.6635,0.6635,0.6506
08-29,rf,heuristic,0.7235,0.6511,0.7011,0.7011,0.6854
08-29,rf,node2vec,0.4196,0.399,0.4236,0.4236,0.4091
08-29,rf,deepwalk,0.6733,0.6277,0.6616,0.6616,0.6497
08-30,rf,heuristic,0.7224,0.6559,0.7019,0.7019,0.6875
08-30,rf,node2vec,0.4186,0.3906,0.424,0.424,0.4041
08-30,rf,deepwalk,0.6763,0.6306,0.6644,0.6644,0.6527
08-31,rf,heuristic,0.7224,0.6515,0.7005,0.7005,0.6851
08-31,rf,node2vec,0.4152,0.3862,0.4212,0.4212,0.4002
08-31,rf,deepwalk,0.6714,0.6195,0.6581,0.6581,0.6444
09-01,rf,heuristic,0.7223,0.6551,0.7016,0.7016,0.6871
09-01,rf,node2vec,0.4276,0.4044,0.4315,0.4315,0.4157
09-01,rf,deepwalk,0.671,0.6243,0.6591,0.6591,0.6468
09-02,rf,heuristic,0.7237,0.6586,0.7036,0.7036,0.6896
09-02,rf,node2vec,0.4261,0.4037,0.4299,0.4299,0.4146
09-02,rf,deepwalk,0.671,0.6244,0.6591,0.6591,0.6469
09-03,rf,heuristic,0.7224,0.6554,0.7018,0.7018,0.6872
09-03,rf,node2vec,0.4308,0.4109,0.434,0.434,0.4206
09-03,rf,deepwalk,0.6717,0.6259,0.66,0.66,0.648
09-04,rf,heuristic,0.7249,0.6642,0.7061,0.7061,0.6933
09-04,rf,node2vec,0.4284,0.4104,0.4314,0.4314,0.4192
09-04,rf,deepwalk,0.6707,0.6198,0.6577,0.6577,0.6442
09-05,rf,heuristic,0.7228,0.6507,0.7006,0.7006,0.6849
09-05,rf,node2vec,0.4156,0.3881,0.4212,0.4212,0.4014
09-05,rf,deepwalk,0.6679,0.6227,0.6565,0.6565,0.6445
09-06,rf,heuristic,0.7203,0.6489,0.6985,0.6985,0.6827
09-06,rf,node2vec,0.426,0.4045,0.4298,0.4298,0.415
09-06,rf,deepwalk,0.6708,0.6251,0.6592,0.6592,0.6472
09-07,rf,heuristic,0.7212,0.6536,0.7005,0.7005,0.6857
09-07,rf,node2vec,0.4199,0.3927,0.4251,0.4251,0.4059
09-07,rf,deepwalk,0.6718,0.6269,0.6603,0.6603,0.6486
09-08,rf,heuristic,0.7287,0.6622,0.7078,0.7078,0.6939
09-08,rf,node2vec,0.4191,0.3922,0.4243,0.4243,0.4052
09-08,rf,deepwalk,0.6712,0.6216,0.6585,0.6585,0.6454
09-09,rf,heuristic,0.7215,0.6488,0.6992,0.6992,0.6832
09-09,rf,node2vec,0.4285,0.4083,0.4319,0.4319,0.4182
09-09,rf,deepwalk,0.6702,0.6243,0.6585,0.6585,0.6464
09-10,rf,heuristic,0.7196,0.6466,0.6973,0.6973,0.6811
09-10,rf,node2vec,0.4285,0.4074,0.432,0.432,0.4177
09-10,rf,deepwalk,0.6721,0.6226,0.6594,0.6594,0.6464
09-11,rf,heuristic,0.7262,0.6629,0.7065,0.7065,0.6931
09-11,rf,node2vec,0.4179,0.3922,0.423,0.423,0.4047
09-11,rf,deepwalk,0.6725,0.6285,0.6612,0.6612,0.6497
09-12,rf,heuristic,0.7235,0.6587,0.7035,0.7035,0.6896
09-12,rf,node2vec,0.4265,0.4043,0.4303,0.4303,0.4151
09-12,rf,deepwalk,0.6737,0.6222,0.6604,0.6604,0.6469
09-13,rf,heuristic,0.7257,0.6635,0.7064,0.7064,0.6932
09-13,rf,node2vec,0.4122,0.3829,0.4185,0.4185,0.397
09-13,rf,deepwalk,0.6715,0.6266,0.6601,0.6601,0.6483
09-14,rf,heuristic,0.7247,0.6624,0.7053,0.7053,0.6921
09-14,rf,node2vec,0.4067,0.3744,0.4141,0.4141,0.3899
09-14,rf,deepwalk,0.6717,0.6239,0.6595,0.6595,0.6469
09-15,rf,heuristic,0.7239,0.6582,0.7036,0.7036,0.6895
09-15,rf,node2vec,0.4191,0.3923,0.4243,0.4243,0.4052
09-15,rf,deepwalk,0.674,0.6255,0.6614,0.6614,0.6488
09-16,rf,heuristic,0.7232,0.6615,0.7042,0.7042,0.691
09-16,rf,node2vec,0.427,0.408,0.4303,0.4303,0.4173
09-16,rf,deepwalk,0.6713,0.6262,0.6598,0.6598,0.648
09-17,rf,heuristic,0.7281,0.6691,0.7096,0.7096,0.6974
09-17,rf,node2vec,0.426,0.4057,0.4296,0.4296,0.4156
09-17,rf,deepwalk,0.6762,0.6313,0.6645,0.6645,0.653
09-18,rf,heuristic,0.7247,0.6641,0.7059,0.7059,0.6931
09-18,rf,node2vec,0.4244,0.4037,0.428,0.428,0.4138
09-18,rf,deepwalk,0.6727,0.6244,0.6603,0.6603,0.6476
09-19,rf,heuristic,0.7237,0.6595,0.7039,0.7039,0.6901
09-19,rf,node2vec,0.4418,0.4296,0.4434,0.4434,0.4356
09-19,rf,deepwalk,0.6695,0.6221,0.6575,0.6575,0.6449
09-20,rf,heuristic,0.73,0.673,0.712,0.712,0.7003
09-20,rf,node2vec,0.4276,0.408,0.4309,0.4309,0.4176
09-20,rf,deepwalk,0.6741,0.6255,0.6616,0.6616,0.6489
09-21,rf,heuristic,0.7244,0.6577,0.7037,0.7037,0.6894
09-21,rf,node2vec,0.4178,0.3917,0.4229,0.4229,0.4043
09-21,rf,deepwalk,0.6744,0.6273,0.6622,0.6622,0.65
09-22,rf,heuristic,0.7215,0.6552,0.7011,0.7011,0.6867
09-22,rf,node2vec,0.4207,0.3962,0.4253,0.4253,0.4081
09-22,rf,deepwalk,0.6705,0.6244,0.6588,0.6588,0.6466
09-23,rf,heuristic,0.7236,0.6624,0.7047,0.7047,0.6917
09-23,rf,node2vec,0.4341,0.4172,0.4367,0.4367,0.4255
09-23,rf,deepwalk,0.6729,0.6282,0.6614,0.6614,0.6497
09-24,rf,heuristic,0.7235,0.6674,0.7061,0.7061,0.6943
09-24,rf,node2vec,0.4195,0.391,0.4249,0.4249,0.4047
09-24,rf,deepwalk,0.6747,0.6305,0.6632,0.6632,0.6518
09-25,rf,heuristic,0.7263,0.6683,0.7082,0.7082,0.6961
09-25,rf,node2vec,0.4239,0.3991,0.4283,0.4283,0.4111
09-25,rf,deepwalk,0.6715,0.6259,0.6598,0.6598,0.6479
09-26,rf,heuristic,0.7188,0.6499,0.6978,0.6978,0.6826
09-26,rf,node2vec,0.4215,0.3958,0.4263,0.4263,0.4083
09-26,rf,deepwalk,0.6726,0.6246,0.6603,0.6603,0.6477
09-27,rf,heuristic,0.7239,0.658,0.7035,0.7035,0.6894
09-27,rf,node2vec,0.4404,0.4276,0.4421,0.4421,0.4339
09-27,rf,deepwalk,0.6729,0.6286,0.6616,0.6616,0.65
09-28,rf,heuristic,0.7207,0.651,0.6993,0.6993,0.6841
09-28,rf,node2vec,0.4164,0.3891,0.4219,0.4219,0.4023
09-28,rf,deepwalk,0.6705,0.6291,0.66,0.66,0.6491
09-29,rf,heuristic,0.7221,0.6534,0.701,0.701,0.686
09-29,rf,node2vec,0.4167,0.3899,0.4221,0.4221,0.4029
09-29,rf,deepwalk,0.6719,0.6269,0.6604,0.6604,0.6486
09-30,rf,heuristic,0.7237,0.6577,0.7033,0.7033,0.6891
09-30,rf,node2vec,0.435,0.418,0.4375,0.4375,0.4263
09-30,rf,deepwalk,0.6735,0.6293,0.6621,0.6621,0.6506
