size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.6448,0.5179,0.6163,0.6163,0.5744
50000,rf,0.6652,0.5095,0.6266,0.6266,0.5771
99999,xgb,0.6738,0.5024,0.6296,0.6296,0.5756
99999,rf,0.7174,0.4898,0.6484,0.6484,0.5821
150000,xgb,0.6999,0.4811,0.6374,0.6374,0.5703
150000,rf,0.7618,0.4302,0.6478,0.6478,0.5498
199999,xgb,0.725,0.4308,0.6337,0.6337,0.5405
199999,rf,0.783,0.4027,0.6455,0.6455,0.5319
249999,xgb,0.7335,0.4382,0.6395,0.6395,0.5486
249999,rf,0.8011,0.4015,0.6509,0.6509,0.5349
299999,xgb,0.7638,0.3984,0.6376,0.6376,0.5236
299999,rf,0.8193,0.3733,0.6455,0.6455,0.5129
349999,xgb,0.7298,0.4006,0.6261,0.6261,0.5173
349999,rf,0.8099,0.3839,0.6469,0.6469,0.5209
399999,xgb,0.7871,0.4268,0.6557,0.6557,0.5534
399999,rf,0.8373,0.4094,0.6649,0.6649,0.5499
449998,xgb,0.7777,0.3789,0.6353,0.6353,0.5096
449998,rf,0.8539,0.365,0.6513,0.6513,0.5114
499999,xgb,0.7987,0.4118,0.654,0.654,0.5434
499999,rf,0.8643,0.3834,0.6616,0.6616,0.5312
549999,xgb,0.7943,0.4228,0.6567,0.6567,0.5519
549999,rf,0.8587,0.3831,0.66,0.66,0.5298
