day,model,method,precision,recall,roc_auc,accuracy,f1_score
09-21,rf,heuristic,0.7018,0.6072,0.6746,0.6746,0.6511
09-21,rf,node2vec,0.593,0.7113,0.6115,0.6115,0.6468
09-21,rf,deepwalk,0.8282,0.538,0.7132,0.7132,0.6523
09-22,rf,heuristic,0.7054,0.6157,0.6793,0.6793,0.6575
09-22,rf,node2vec,0.5947,0.7152,0.6139,0.6139,0.6494
09-22,rf,deepwalk,0.8309,0.5417,0.7157,0.7157,0.6558
09-23,rf,heuristic,0.7075,0.6215,0.6823,0.6823,0.6617
09-23,rf,node2vec,0.5966,0.7202,0.6166,0.6166,0.6526
09-23,rf,deepwalk,0.8293,0.54,0.7144,0.7144,0.6541
09-24,rf,heuristic,0.7091,0.625,0.6843,0.6843,0.6644
09-24,rf,node2vec,0.5914,0.7028,0.6086,0.6086,0.6423
09-24,rf,deepwalk,0.8322,0.5505,0.7198,0.7198,0.6627
09-25,rf,heuristic,0.7088,0.6305,0.6858,0.6858,0.6674
09-25,rf,node2vec,0.5996,0.7305,0.6214,0.6214,0.6586
09-25,rf,deepwalk,0.8332,0.5494,0.7197,0.7197,0.6622
09-26,rf,heuristic,0.7031,0.6083,0.6758,0.6758,0.6523
09-26,rf,node2vec,0.5965,0.7176,0.6161,0.6161,0.6515
09-26,rf,deepwalk,0.8283,0.5333,0.7114,0.7114,0.6489
09-27,rf,heuristic,0.7022,0.6086,0.6753,0.6753,0.6521
09-27,rf,node2vec,0.5881,0.694,0.604,0.604,0.6367
09-27,rf,deepwalk,0.8285,0.5363,0.7126,0.7126,0.6511
09-28,rf,heuristic,0.6996,0.6027,0.672,0.672,0.6476
09-28,rf,node2vec,0.5935,0.7081,0.6116,0.6116,0.6458
09-28,rf,deepwalk,0.827,0.5325,0.7106,0.7106,0.6479
09-29,rf,heuristic,0.7051,0.6183,0.6798,0.6798,0.6589
09-29,rf,node2vec,0.5962,0.7168,0.6156,0.6156,0.651
09-29,rf,deepwalk,0.8305,0.5422,0.7158,0.7158,0.6561
09-30,rf,heuristic,0.7052,0.6173,0.6796,0.6796,0.6583
09-30,rf,node2vec,0.5942,0.7116,0.6129,0.6129,0.6476
09-30,rf,deepwalk,0.8287,0.5377,0.7133,0.7133,0.6522
