day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,rf,heuristic,0.7076,0.6277,0.6841,0.6841,0.6653
07-29,rf,node2vec,0.5911,0.7055,0.6087,0.6087,0.6433
07-29,rf,deepwalk,0.8291,0.539,0.7139,0.7139,0.6533
07-30,rf,heuristic,0.7061,0.6156,0.6797,0.6797,0.6578
07-30,rf,node2vec,0.5871,0.6923,0.6027,0.6027,0.6354
07-30,rf,deepwalk,0.8274,0.5327,0.7108,0.7108,0.6481
07-31,rf,heuristic,0.7052,0.6128,0.6783,0.6783,0.6557
07-31,rf,node2vec,0.5946,0.7136,0.6135,0.6135,0.6487
07-31,rf,deepwalk,0.8272,0.5281,0.7089,0.7089,0.6447
08-01,rf,heuristic,0.7004,0.6027,0.6725,0.6725,0.6479
08-01,rf,node2vec,0.592,0.7049,0.6095,0.6095,0.6435
08-01,rf,deepwalk,0.8252,0.524,0.7065,0.7065,0.641
08-02,rf,heuristic,0.7035,0.6115,0.6769,0.6769,0.6542
08-02,rf,node2vec,0.5883,0.6948,0.6043,0.6043,0.6371
08-02,rf,deepwalk,0.8296,0.5363,0.7131,0.7131,0.6514
08-03,rf,heuristic,0.7054,0.6149,0.679,0.679,0.657
08-03,rf,node2vec,0.5941,0.7096,0.6124,0.6124,0.6467
08-03,rf,deepwalk,0.8283,0.5369,0.7128,0.7128,0.6515
08-04,rf,heuristic,0.7087,0.623,0.6835,0.6835,0.6631
08-04,rf,node2vec,0.5935,0.7108,0.612,0.612,0.6469
08-04,rf,deepwalk,0.8287,0.5374,0.7131,0.7131,0.652
08-05,rf,heuristic,0.7123,0.638,0.6901,0.6901,0.6731
08-05,rf,node2vec,0.6002,0.7294,0.6217,0.6217,0.6585
08-05,rf,deepwalk,0.8325,0.5491,0.7193,0.7193,0.6618
08-06,rf,heuristic,0.706,0.6195,0.6808,0.6808,0.66
08-06,rf,node2vec,0.5875,0.6926,0.6031,0.6031,0.6357
08-06,rf,deepwalk,0.8308,0.5398,0.7149,0.7149,0.6544
08-07,rf,heuristic,0.7133,0.6421,0.692,0.692,0.6758
08-07,rf,node2vec,0.602,0.7365,0.6248,0.6248,0.6625
08-07,rf,deepwalk,0.8318,0.5489,0.7189,0.7189,0.6613
08-08,rf,heuristic,0.7106,0.6348,0.6881,0.6881,0.6706
08-08,rf,node2vec,0.6002,0.7302,0.6219,0.6219,0.6589
08-08,rf,deepwalk,0.831,0.5442,0.7167,0.7167,0.6576
08-09,rf,heuristic,0.7041,0.615,0.6783,0.6783,0.6565
08-09,rf,node2vec,0.5882,0.6975,0.6046,0.6046,0.6382
08-09,rf,deepwalk,0.8306,0.5433,0.7163,0.7163,0.6569
08-10,rf,heuristic,0.7109,0.632,0.6875,0.6875,0.6692
08-10,rf,node2vec,0.5992,0.7258,0.6201,0.6201,0.6564
08-10,rf,deepwalk,0.8336,0.5588,0.7236,0.7236,0.6691
08-11,rf,heuristic,0.7073,0.6225,0.6825,0.6825,0.6622
08-11,rf,node2vec,0.5942,0.7121,0.6129,0.6129,0.6479
08-11,rf,deepwalk,0.83,0.5433,0.716,0.716,0.6567
08-12,rf,heuristic,0.7094,0.6321,0.6866,0.6866,0.6685
08-12,rf,node2vec,0.5945,0.7122,0.6132,0.6132,0.6481
08-12,rf,deepwalk,0.8322,0.5481,0.7188,0.7188,0.6609
08-13,rf,heuristic,0.705,0.6221,0.6809,0.6809,0.6609
08-13,rf,node2vec,0.5912,0.7036,0.6085,0.6085,0.6425
08-13,rf,deepwalk,0.8296,0.5419,0.7153,0.7153,0.6556
08-14,rf,heuristic,0.7121,0.636,0.6894,0.6894,0.6719
08-14,rf,node2vec,0.6019,0.735,0.6245,0.6245,0.6618
08-14,rf,deepwalk,0.832,0.5462,0.718,0.718,0.6595
08-15,rf,heuristic,0.7094,0.6324,0.6867,0.6867,0.6687
08-15,rf,node2vec,0.5981,0.7228,0.6186,0.6186,0.6546
08-15,rf,deepwalk,0.8317,0.5486,0.7188,0.7188,0.6611
08-16,rf,heuristic,0.7066,0.6208,0.6815,0.6815,0.661
08-16,rf,node2vec,0.5909,0.7039,0.6083,0.6083,0.6425
08-16,rf,deepwalk,0.8328,0.5482,0.7191,0.7191,0.6612
08-17,rf,heuristic,0.704,0.6095,0.6766,0.6766,0.6533
08-17,rf,node2vec,0.5928,0.7078,0.6108,0.6108,0.6452
08-17,rf,deepwalk,0.8276,0.5366,0.7124,0.7124,0.651
08-18,rf,heuristic,0.7065,0.6166,0.6802,0.6802,0.6585
08-18,rf,node2vec,0.5935,0.7087,0.6116,0.6116,0.646
08-18,rf,deepwalk,0.8292,0.5381,0.7136,0.7136,0.6527
08-19,rf,heuristic,0.7061,0.625,0.6824,0.6824,0.6631
08-19,rf,node2vec,0.5927,0.7077,0.6106,0.6107,0.6451
08-19,rf,deepwalk,0.8325,0.5473,0.7186,0.7186,0.6604
08-20,rf,heuristic,0.7088,0.6277,0.6849,0.6849,0.6658
08-20,rf,node2vec,0.5926,0.7069,0.6104,0.6104,0.6447
08-20,rf,deepwalk,0.8322,0.5499,0.7195,0.7195,0.6622
08-21,rf,heuristic,0.7094,0.6274,0.6852,0.6852,0.6659
08-21,rf,node2vec,0.591,0.7079,0.609,0.609,0.6442
08-21,rf,deepwalk,0.8334,0.5487,0.7195,0.7195,0.6617
08-22,rf,heuristic,0.7066,0.6196,0.6812,0.6812,0.6603
08-22,rf,node2vec,0.5935,0.7093,0.6117,0.6117,0.6462
08-22,rf,deepwalk,0.83,0.5445,0.7165,0.7165,0.6576
08-23,rf,heuristic,0.7037,0.6136,0.6776,0.6776,0.6556
08-23,rf,node2vec,0.5897,0.699,0.6064,0.6064,0.6397
08-23,rf,deepwalk,0.8302,0.5446,0.7166,0.7166,0.6577
08-24,rf,heuristic,0.7012,0.6071,0.6742,0.6742,0.6507
08-24,rf,node2vec,0.5921,0.7076,0.61,0.61,0.6447
08-24,rf,deepwalk,0.8265,0.5363,0.7118,0.7118,0.6505
08-25,rf,heuristic,0.7051,0.6181,0.6798,0.6798,0.6587
08-25,rf,node2vec,0.5934,0.7101,0.6117,0.6117,0.6465
08-25,rf,deepwalk,0.8294,0.5404,0.7146,0.7146,0.6544
08-26,rf,heuristic,0.7068,0.6232,0.6824,0.6824,0.6624
08-26,rf,node2vec,0.5956,0.717,0.6151,0.6151,0.6507
08-26,rf,deepwalk,0.8315,0.5419,0.7161,0.7161,0.6562
08-27,rf,heuristic,0.7055,0.6214,0.681,0.681,0.6608
08-27,rf,node2vec,0.5892,0.6985,0.6058,0.6058,0.6392
08-27,rf,deepwalk,0.8316,0.5453,0.7174,0.7174,0.6587
08-29,rf,heuristic,0.6995,0.602,0.6717,0.6717,0.6471
08-29,rf,node2vec,0.5918,0.7032,0.6091,0.6091,0.6427
08-29,rf,deepwalk,0.8255,0.5298,0.7089,0.7089,0.6454
08-30,rf,heuristic,0.7002,0.605,0.673,0.673,0.6491
08-30,rf,node2vec,0.5865,0.6919,0.6021,0.6021,0.6349
08-30,rf,deepwalk,0.8293,0.5348,0.7124,0.7124,0.6503
08-31,rf,heuristic,0.6995,0.6008,0.6713,0.6713,0.6464
08-31,rf,node2vec,0.5933,0.7076,0.6113,0.6113,0.6454
08-31,rf,deepwalk,0.8265,0.5279,0.7086,0.7086,0.6443
09-01,rf,heuristic,0.7023,0.6087,0.6754,0.6754,0.6522
09-01,rf,node2vec,0.5913,0.706,0.609,0.609,0.6436
09-01,rf,deepwalk,0.8285,0.5319,0.7109,0.7109,0.6479
09-02,rf,heuristic,0.7064,0.6195,0.681,0.681,0.6601
09-02,rf,node2vec,0.5954,0.716,0.6147,0.6147,0.6502
09-02,rf,deepwalk,0.8288,0.5382,0.7135,0.7135,0.6527
09-03,rf,heuristic,0.703,0.6125,0.6769,0.6769,0.6546
09-03,rf,node2vec,0.5863,0.6897,0.6015,0.6015,0.6338
09-03,rf,deepwalk,0.8278,0.5353,0.712,0.712,0.6502
09-04,rf,heuristic,0.7063,0.6196,0.681,0.681,0.6601
09-04,rf,node2vec,0.5964,0.7196,0.6163,0.6163,0.6522
09-04,rf,deepwalk,0.8289,0.5347,0.7122,0.7122,0.6501
09-05,rf,heuristic,0.7031,0.6119,0.6767,0.6767,0.6543
09-05,rf,node2vec,0.5963,0.7174,0.6159,0.6159,0.6513
09-05,rf,deepwalk,0.8262,0.5351,0.7113,0.7113,0.6495
09-06,rf,heuristic,0.7008,0.6043,0.6731,0.6731,0.649
09-06,rf,node2vec,0.5863,0.689,0.6014,0.6014,0.6335
09-06,rf,deepwalk,0.8281,0.5334,0.7113,0.7113,0.6489
09-07,rf,heuristic,0.7006,0.603,0.6727,0.6727,0.6482
09-07,rf,node2vec,0.5923,0.7081,0.6103,0.6103,0.645
09-07,rf,deepwalk,0.8279,0.5334,0.7113,0.7113,0.6488
09-08,rf,heuristic,0.7058,0.6199,0.6807,0.6807,0.66
09-08,rf,node2vec,0.5927,0.71,0.611,0.611,0.6461
09-08,rf,deepwalk,0.8291,0.5393,0.7141,0.7141,0.6535
09-09,rf,heuristic,0.7028,0.6085,0.6756,0.6756,0.6522
09-09,rf,node2vec,0.5885,0.6954,0.6046,0.6046,0.6375
09-09,rf,deepwalk,0.8263,0.5309,0.7096,0.7096,0.6464
09-10,rf,heuristic,0.7007,0.604,0.673,0.673,0.6488
09-10,rf,node2vec,0.5912,0.7027,0.6084,0.6084,0.6421
09-10,rf,deepwalk,0.8276,0.5264,0.7084,0.7084,0.6435
09-11,rf,heuristic,0.7065,0.6214,0.6816,0.6816,0.6612
09-11,rf,node2vec,0.5896,0.7015,0.6066,0.6066,0.6407
09-11,rf,deepwalk,0.832,0.5449,0.7175,0.7175,0.6585
09-12,rf,heuristic,0.7059,0.62,0.6808,0.6808,0.6601
09-12,rf,node2vec,0.5975,0.7182,0.6172,0.6172,0.6523
09-12,rf,deepwalk,0.8285,0.5373,0.713,0.713,0.6518
09-13,rf,heuristic,0.7051,0.6141,0.6786,0.6786,0.6565
09-13,rf,node2vec,0.5892,0.6993,0.6059,0.6059,0.6396
09-13,rf,deepwalk,0.8303,0.5396,0.7147,0.7147,0.6541
09-14,rf,heuristic,0.7039,0.6144,0.678,0.678,0.6561
09-14,rf,node2vec,0.5963,0.7164,0.6157,0.6157,0.6509
09-14,rf,deepwalk,0.8292,0.5378,0.7135,0.7135,0.6524
09-15,rf,heuristic,0.7052,0.6171,0.6795,0.6795,0.6582
09-15,rf,node2vec,0.5936,0.709,0.6118,0.6118,0.6462
09-15,rf,deepwalk,0.8306,0.5385,0.7143,0.7143,0.6534
09-16,rf,heuristic,0.7055,0.6181,0.6801,0.6801,0.6589
09-16,rf,node2vec,0.5949,0.7151,0.614,0.614,0.6495
09-16,rf,deepwalk,0.8301,0.5389,0.7143,0.7143,0.6536
09-17,rf,heuristic,0.7088,0.6288,0.6852,0.6852,0.6664
09-17,rf,node2vec,0.5903,0.7012,0.6073,0.6073,0.641
09-17,rf,deepwalk,0.8327,0.5503,0.7199,0.7199,0.6626
09-18,rf,heuristic,0.706,0.6186,0.6805,0.6805,0.6594
09-18,rf,node2vec,0.5969,0.7206,0.617,0.617,0.653
09-18,rf,deepwalk,0.829,0.5382,0.7136,0.7136,0.6527
09-19,rf,heuristic,0.7039,0.6128,0.6775,0.6775,0.6552
09-19,rf,node2vec,0.5938,0.7123,0.6125,0.6125,0.6477
09-19,rf,deepwalk,0.826,0.5321,0.71,0.71,0.6472
09-20,rf,heuristic,0.7106,0.6341,0.6879,0.6879,0.6702
09-20,rf,node2vec,0.5977,0.7235,0.6182,0.6182,0.6546
09-20,rf,deepwalk,0.8335,0.5559,0.7224,0.7224,0.6669
