day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,rf,heuristic,0.7175,0.6449,0.6955,0.6955,0.6793
07-29,rf,node2vec,0.575,0.7208,0.594,0.594,0.6397
07-29,rf,deepwalk,0.8242,0.5904,0.7322,0.7322,0.688
07-30,rf,heuristic,0.7126,0.6329,0.6888,0.6888,0.6704
07-30,rf,node2vec,0.5686,0.7004,0.5845,0.5845,0.6276
07-30,rf,deepwalk,0.8258,0.586,0.7312,0.7312,0.6856
07-31,rf,heuristic,0.7135,0.6346,0.6899,0.6899,0.6717
07-31,rf,node2vec,0.5748,0.72,0.5937,0.5937,0.6392
07-31,rf,deepwalk,0.8211,0.5749,0.7248,0.7248,0.6763
08-01,rf,heuristic,0.7084,0.6227,0.6832,0.6832,0.6628
08-01,rf,node2vec,0.5753,0.7191,0.5941,0.5941,0.6392
08-01,rf,deepwalk,0.8219,0.5782,0.7265,0.7265,0.6789
08-02,rf,heuristic,0.7112,0.6289,0.6868,0.6868,0.6675
08-02,rf,node2vec,0.5667,0.6972,0.582,0.582,0.6252
08-02,rf,deepwalk,0.8241,0.5887,0.7315,0.7315,0.6868
08-03,rf,heuristic,0.7139,0.6353,0.6904,0.6904,0.6724
08-03,rf,node2vec,0.5746,0.7129,0.5925,0.5925,0.6363
08-03,rf,deepwalk,0.8275,0.5938,0.735,0.735,0.6914
08-04,rf,heuristic,0.7169,0.6426,0.6944,0.6944,0.6777
08-04,rf,node2vec,0.5729,0.718,0.5914,0.5914,0.6373
08-04,rf,deepwalk,0.8244,0.5885,0.7316,0.7316,0.6868
08-05,rf,heuristic,0.7186,0.6544,0.6991,0.6991,0.685
08-05,rf,node2vec,0.5836,0.7419,0.6062,0.6062,0.6533
08-05,rf,deepwalk,0.8248,0.596,0.7347,0.7347,0.692
08-06,rf,heuristic,0.7151,0.6386,0.6921,0.6921,0.6747
08-06,rf,node2vec,0.5666,0.6984,0.5821,0.5821,0.6256
08-06,rf,deepwalk,0.8245,0.5944,0.7339,0.7339,0.6908
08-07,rf,heuristic,0.72,0.6581,0.7011,0.7011,0.6876
08-07,rf,node2vec,0.5864,0.7524,0.6108,0.6108,0.6591
08-07,rf,deepwalk,0.8241,0.5881,0.7313,0.7313,0.6864
08-08,rf,heuristic,0.7174,0.6511,0.6973,0.6973,0.6826
08-08,rf,node2vec,0.5807,0.7377,0.6025,0.6025,0.6498
08-08,rf,deepwalk,0.8235,0.579,0.7274,0.7274,0.6799
08-09,rf,heuristic,0.7153,0.636,0.6914,0.6914,0.6733
08-09,rf,node2vec,0.5689,0.7012,0.585,0.585,0.6282
08-09,rf,deepwalk,0.8288,0.6002,0.7381,0.7381,0.6963
08-10,rf,heuristic,0.7175,0.6492,0.6968,0.6968,0.6816
08-10,rf,node2vec,0.5804,0.7369,0.6021,0.6021,0.6493
08-10,rf,deepwalk,0.8297,0.6129,0.7435,0.7435,0.705
08-11,rf,heuristic,0.716,0.6415,0.6935,0.6935,0.6767
08-11,rf,node2vec,0.5729,0.7124,0.5906,0.5906,0.6351
