size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.6444,0.6791,0.6522,0.6522,0.6613
49999,rf,0.6538,0.6467,0.6521,0.6521,0.6502
99999,xgb,0.6427,0.6352,0.641,0.641,0.6389
99999,rf,0.6564,0.6051,0.6442,0.6442,0.6297
150000,xgb,0.6987,0.6642,0.6889,0.6889,0.681
150000,rf,0.7005,0.6144,0.6759,0.6759,0.6546
199998,xgb,0.6494,0.618,0.6422,0.6422,0.6333
199998,rf,0.692,0.5805,0.6611,0.6611,0.6314
249998,xgb,0.6493,0.5776,0.6328,0.6328,0.6114
249998,rf,0.696,0.5565,0.6567,0.6567,0.6185
300000,xgb,0.7016,0.6085,0.6749,0.6749,0.6518
300000,rf,0.7339,0.5553,0.677,0.677,0.6322
349999,xgb,0.6896,0.5665,0.6557,0.6557,0.622
349999,rf,0.7467,0.5484,0.6812,0.6812,0.6323
399999,xgb,0.7082,0.5601,0.6646,0.6646,0.6255
399999,rf,0.7718,0.5283,0.686,0.686,0.6272
449999,xgb,0.7047,0.563,0.6635,0.6635,0.6259
449999,rf,0.7701,0.4998,0.6753,0.6753,0.6062
499999,xgb,0.7182,0.5188,0.6576,0.6576,0.6024
499999,rf,0.7836,0.4838,0.6751,0.6751,0.5982
550000,xgb,0.7345,0.5054,0.6614,0.6614,0.5988
550000,rf,0.8029,0.4741,0.6789,0.6789,0.5962
999999,xgb,0.749,0.4374,0.6454,0.6454,0.5523
999999,rf,0.8277,0.4132,0.6636,0.6636,0.5512
1999999,xgb,0.7944,0.3928,0.6456,0.6456,0.5257
1999999,rf,0.8519,0.3717,0.6535,0.6535,0.5176
