day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-28,rf,heuristic,0.7037,0.6168,0.6786,0.6786,0.6574
07-28,rf,node2vec,0.664,0.73,0.6803,0.6803,0.6954
07-28,rf,deepwalk,0.7744,0.5026,0.6781,0.6781,0.6096
07-29,rf,heuristic,0.7073,0.6229,0.6825,0.6825,0.6624
07-29,rf,node2vec,0.6619,0.723,0.6768,0.6768,0.6911
07-29,rf,deepwalk,0.7737,0.5025,0.6778,0.6778,0.6093
07-30,rf,heuristic,0.7038,0.6134,0.6776,0.6776,0.6555
07-30,rf,node2vec,0.663,0.7252,0.6783,0.6783,0.6927
07-30,rf,deepwalk,0.7726,0.4988,0.676,0.676,0.6063
07-31,rf,heuristic,0.7052,0.6175,0.6797,0.6797,0.6584
07-31,rf,node2vec,0.659,0.7128,0.6719,0.6719,0.6848
07-31,rf,deepwalk,0.7715,0.4953,0.6743,0.6743,0.6033
08-02,rf,heuristic,0.7035,0.6111,0.6768,0.6768,0.6541
08-02,rf,node2vec,0.6623,0.7238,0.6774,0.6774,0.6917
08-02,rf,deepwalk,0.7752,0.5004,0.6776,0.6776,0.6082
08-03,rf,heuristic,0.7045,0.6179,0.6793,0.6793,0.6584
08-03,rf,node2vec,0.6646,0.7304,0.6809,0.6809,0.696
08-03,rf,deepwalk,0.7761,0.5088,0.681,0.681,0.6147
08-04,rf,heuristic,0.707,0.6242,0.6828,0.6828,0.663
08-04,rf,node2vec,0.6635,0.7258,0.6788,0.6788,0.6933
08-04,rf,deepwalk,0.7747,0.5048,0.679,0.679,0.6113
08-05,rf,heuristic,0.712,0.6363,0.6894,0.6894,0.672
08-05,rf,node2vec,0.6621,0.7203,0.6763,0.6763,0.69
08-05,rf,deepwalk,0.7753,0.508,0.6804,0.6804,0.6138
08-06,rf,heuristic,0.7057,0.6222,0.6813,0.6813,0.6613
08-06,rf,node2vec,0.6634,0.7266,0.679,0.679,0.6936
08-06,rf,deepwalk,0.7724,0.5017,0.6769,0.6769,0.6083
08-07,rf,heuristic,0.7128,0.6426,0.6919,0.6919,0.6759
08-07,rf,node2vec,0.6571,0.7094,0.6696,0.6696,0.6823
08-07,rf,deepwalk,0.7764,0.5065,0.6803,0.6803,0.613
08-08,rf,heuristic,0.7099,0.6315,0.6867,0.6867,0.6684
08-08,rf,node2vec,0.6586,0.7102,0.6711,0.6711,0.6835
08-08,rf,deepwalk,0.7744,0.5042,0.6787,0.6787,0.6108
08-09,rf,heuristic,0.7046,0.6142,0.6784,0.6784,0.6563
08-09,rf,node2vec,0.6666,0.7285,0.6821,0.6821,0.6962
08-09,rf,deepwalk,0.7731,0.5058,0.6787,0.6787,0.6115
08-10,rf,heuristic,0.7094,0.6309,0.6862,0.6862,0.6678
08-10,rf,node2vec,0.666,0.7353,0.6833,0.6833,0.699
08-10,rf,deepwalk,0.7768,0.5153,0.6836,0.6836,0.6196
08-11,rf,heuristic,0.708,0.624,0.6833,0.6833,0.6634
08-11,rf,node2vec,0.6678,0.7369,0.6852,0.6852,0.7006
08-11,rf,deepwalk,0.7762,0.5083,0.6809,0.6809,0.6143
08-12,rf,heuristic,0.7088,0.6289,0.6852,0.6852,0.6664
08-12,rf,node2vec,0.6647,0.7292,0.6807,0.6807,0.6954
08-12,rf,deepwalk,0.7752,0.5074,0.6801,0.6801,0.6134
08-13,rf,heuristic,0.7066,0.6218,0.6818,0.6818,0.6615
08-13,rf,node2vec,0.6631,0.7266,0.6787,0.6787,0.6934
08-13,rf,deepwalk,0.7742,0.5053,0.679,0.679,0.6115
08-14,rf,heuristic,0.7097,0.6337,0.6873,0.6873,0.6695
08-14,rf,node2vec,0.6589,0.7144,0.6723,0.6723,0.6855
08-14,rf,deepwalk,0.7757,0.5082,0.6806,0.6806,0.6141
08-15,rf,heuristic,0.7088,0.6282,0.685,0.685,0.6661
08-15,rf,node2vec,0.661,0.7218,0.6758,0.6758,0.6901
08-15,rf,deepwalk,0.7773,0.5087,0.6815,0.6815,0.6149
08-16,rf,heuristic,0.7054,0.6191,0.6803,0.6803,0.6594
08-16,rf,node2vec,0.6636,0.7288,0.6797,0.6797,0.6947
08-16,rf,deepwalk,0.7763,0.5094,0.6813,0.6813,0.6151
08-17,rf,heuristic,0.7019,0.608,0.6749,0.6749,0.6516
08-17,rf,node2vec,0.6662,0.7372,0.6839,0.6839,0.6999
08-17,rf,deepwalk,0.7762,0.5102,0.6816,0.6816,0.6157
08-18,rf,heuristic,0.7041,0.6147,0.6782,0.6782,0.6563
08-18,rf,node2vec,0.6651,0.7309,0.6815,0.6815,0.6965
08-18,rf,deepwalk,0.7739,0.505,0.6787,0.6787,0.6112
08-19,rf,heuristic,0.7078,0.6241,0.6832,0.6832,0.6633
08-19,rf,node2vec,0.6656,0.7311,0.6819,0.6819,0.6968
08-19,rf,deepwalk,0.7754,0.5057,0.6796,0.6796,0.6122
08-20,rf,heuristic,0.7089,0.6267,0.6847,0.6847,0.6652
08-20,rf,node2vec,0.6656,0.7326,0.6823,0.6823,0.6975
08-20,rf,deepwalk,0.7773,0.5118,0.6826,0.6826,0.6172
08-21,rf,heuristic,0.709,0.6279,0.6851,0.6851,0.666
08-21,rf,node2vec,0.6631,0.724,0.678,0.678,0.6922
08-21,rf,deepwalk,0.7758,0.5073,0.6804,0.6804,0.6135
08-22,rf,heuristic,0.7041,0.6165,0.6787,0.6787,0.6574
08-22,rf,node2vec,0.6629,0.7257,0.6784,0.6784,0.6929
08-22,rf,deepwalk,0.7747,0.5044,0.6789,0.6789,0.611
08-23,rf,heuristic,0.7027,0.6106,0.6762,0.6762,0.6535
08-23,rf,node2vec,0.6641,0.7286,0.6801,0.6801,0.6949
08-23,rf,deepwalk,0.7757,0.507,0.6802,0.6802,0.6132
08-24,rf,heuristic,0.7018,0.6072,0.6746,0.6746,0.6511
08-24,rf,node2vec,0.6657,0.7332,0.6825,0.6825,0.6978
08-24,rf,deepwalk,0.7756,0.5096,0.6811,0.6811,0.6151
08-25,rf,heuristic,0.7039,0.6168,0.6787,0.6787,0.6575
08-25,rf,node2vec,0.6641,0.7329,0.6811,0.6811,0.6968
08-25,rf,deepwalk,0.7763,0.5064,0.6802,0.6802,0.6129
08-26,rf,heuristic,0.706,0.6222,0.6816,0.6816,0.6615
08-26,rf,node2vec,0.6631,0.7263,0.6786,0.6786,0.6933
08-26,rf,deepwalk,0.774,0.505,0.6788,0.6788,0.6113
08-27,rf,heuristic,0.7065,0.6207,0.6814,0.6814,0.6608
08-27,rf,node2vec,0.6635,0.7255,0.6788,0.6788,0.6931
08-27,rf,deepwalk,0.7731,0.5042,0.6781,0.6781,0.6103
08-29,rf,heuristic,0.6993,0.6003,0.6711,0.6711,0.646
08-29,rf,node2vec,0.662,0.7235,0.6771,0.6771,0.6914
08-29,rf,deepwalk,0.7724,0.4982,0.6757,0.6757,0.6057
08-30,rf,heuristic,0.6998,0.601,0.6716,0.6716,0.6466
08-30,rf,node2vec,0.661,0.7231,0.6761,0.6761,0.6906
08-30,rf,deepwalk,0.7728,0.5001,0.6765,0.6765,0.6072
08-31,rf,heuristic,0.6994,0.5979,0.6705,0.6705,0.6447
08-31,rf,node2vec,0.6643,0.7262,0.6796,0.6796,0.6939
08-31,rf,deepwalk,0.7735,0.5007,0.6771,0.6771,0.6079
09-01,rf,heuristic,0.7007,0.6084,0.6742,0.6742,0.6513
09-01,rf,node2vec,0.6644,0.7281,0.6802,0.6802,0.6948
09-01,rf,deepwalk,0.7737,0.4995,0.6767,0.6767,0.607
09-02,rf,heuristic,0.7066,0.6208,0.6815,0.6815,0.6609
09-02,rf,node2vec,0.6618,0.7249,0.6772,0.6772,0.6919
09-02,rf,deepwalk,0.7742,0.5044,0.6786,0.6786,0.6108
09-03,rf,heuristic,0.7027,0.6123,0.6766,0.6766,0.6544
09-03,rf,node2vec,0.6617,0.7234,0.6768,0.6768,0.6912
09-03,rf,deepwalk,0.7726,0.4985,0.6759,0.6759,0.606
09-04,rf,heuristic,0.7061,0.6202,0.681,0.681,0.6604
09-04,rf,node2vec,0.6609,0.7174,0.6747,0.6747,0.688
09-04,rf,deepwalk,0.7738,0.5019,0.6776,0.6776,0.6089
09-05,rf,heuristic,0.701,0.6087,0.6745,0.6745,0.6516
09-05,rf,node2vec,0.6607,0.719,0.6749,0.6749,0.6886
09-05,rf,deepwalk,0.7727,0.4972,0.6755,0.6755,0.6051
09-06,rf,heuristic,0.7015,0.6033,0.6733,0.6733,0.6487
09-06,rf,node2vec,0.6607,0.716,0.6741,0.6741,0.6872
09-06,rf,deepwalk,0.7721,0.4981,0.6756,0.6756,0.6056
09-07,rf,heuristic,0.7002,0.6024,0.6723,0.6723,0.6476
09-07,rf,node2vec,0.6652,0.7296,0.6812,0.6812,0.6959
09-07,rf,deepwalk,0.7756,0.5052,0.6795,0.6795,0.6119
09-08,rf,heuristic,0.7063,0.6193,0.6809,0.6809,0.6599
09-08,rf,node2vec,0.6623,0.7235,0.6773,0.6773,0.6915
09-08,rf,deepwalk,0.7743,0.5036,0.6784,0.6784,0.6103
09-09,rf,heuristic,0.7031,0.6086,0.6758,0.6758,0.6524
09-09,rf,node2vec,0.6632,0.7279,0.6791,0.6791,0.694
09-09,rf,deepwalk,0.7727,0.5008,0.6767,0.6767,0.6077
09-10,rf,heuristic,0.7016,0.6071,0.6744,0.6744,0.6509
09-10,rf,node2vec,0.6648,0.7288,0.6807,0.6807,0.6953
09-10,rf,deepwalk,0.7754,0.5008,0.6779,0.6779,0.6086
