day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,rf,heuristic,0.7005,0.613,0.6754,0.6754,0.6538
07-29,rf,node2vec,0.6095,0.6942,0.6247,0.6247,0.6491
07-29,rf,deepwalk,0.8911,0.5169,0.7268,0.7268,0.6542
07-30,rf,heuristic,0.6957,0.6006,0.6689,0.6689,0.6447
07-30,rf,node2vec,0.6083,0.6909,0.623,0.623,0.647
07-30,rf,deepwalk,0.8903,0.5095,0.7234,0.7234,0.6481
07-31,rf,heuristic,0.697,0.6026,0.6703,0.6703,0.6464
07-31,rf,node2vec,0.6093,0.6953,0.6247,0.6247,0.6495
07-31,rf,deepwalk,0.8886,0.5003,0.7188,0.7188,0.6402
08-01,rf,heuristic,0.6913,0.5889,0.663,0.663,0.636
08-01,rf,node2vec,0.6107,0.7006,0.627,0.627,0.6526
08-01,rf,deepwalk,0.8873,0.4952,0.7161,0.7161,0.6356
08-02,rf,heuristic,0.6943,0.5948,0.6665,0.6665,0.6407
08-02,rf,node2vec,0.6065,0.6894,0.621,0.621,0.6453
08-02,rf,deepwalk,0.8901,0.509,0.7231,0.7231,0.6476
08-03,rf,heuristic,0.6968,0.5993,0.6692,0.6692,0.6444
08-03,rf,node2vec,0.6125,0.7046,0.6294,0.6294,0.6553
08-03,rf,deepwalk,0.8902,0.5121,0.7245,0.7245,0.6502
08-04,rf,heuristic,0.6981,0.6086,0.6727,0.6727,0.6503
08-04,rf,node2vec,0.6127,0.7053,0.6298,0.6298,0.6558
08-04,rf,deepwalk,0.8904,0.5126,0.7247,0.7247,0.6506
08-05,rf,heuristic,0.704,0.6232,0.6806,0.6806,0.6611
08-05,rf,node2vec,0.6101,0.696,0.6256,0.6256,0.6502
08-05,rf,deepwalk,0.8942,0.5325,0.7348,0.7347,0.6675
08-06,rf,heuristic,0.6986,0.6085,0.673,0.673,0.6505
08-06,rf,node2vec,0.6083,0.6918,0.6231,0.6231,0.6473
08-06,rf,deepwalk,0.8924,0.5196,0.7284,0.7284,0.6567
08-07,rf,heuristic,0.705,0.6285,0.6828,0.6828,0.6646
08-07,rf,node2vec,0.6115,0.7035,0.6282,0.6282,0.6543
08-07,rf,deepwalk,0.8946,0.5321,0.7347,0.7347,0.6673
08-08,rf,heuristic,0.7034,0.6211,0.6796,0.6796,0.6597
08-08,rf,node2vec,0.6136,0.7082,0.6311,0.6311,0.6575
08-08,rf,deepwalk,0.8921,0.5234,0.7301,0.7301,0.6598
08-09,rf,heuristic,0.6957,0.6002,0.6688,0.6688,0.6444
08-09,rf,node2vec,0.6064,0.6853,0.6203,0.6203,0.6435
08-09,rf,deepwalk,0.8919,0.5201,0.7285,0.7285,0.6571
08-10,rf,heuristic,0.7022,0.6162,0.6774,0.6774,0.6564
08-10,rf,node2vec,0.6067,0.6854,0.6206,0.6206,0.6437
08-10,rf,deepwalk,0.8968,0.5412,0.7395,0.7395,0.6751
08-11,rf,heuristic,0.6994,0.6078,0.6733,0.6733,0.6504
08-11,rf,node2vec,0.612,0.7021,0.6285,0.6285,0.654
08-11,rf,deepwalk,0.8932,0.5201,0.729,0.729,0.6574
08-12,rf,heuristic,0.6999,0.6148,0.6756,0.6756,0.6546
08-12,rf,node2vec,0.6116,0.7013,0.6279,0.6279,0.6534
