day,model,method,precision,recall,roc_auc,accuracy,f1_score
08-12,rf,deepwalk,0.8932,0.5272,0.7321,0.7321,0.663
08-13,rf,heuristic,0.6992,0.6093,0.6736,0.6736,0.6512
08-13,rf,node2vec,0.6093,0.6951,0.6247,0.6247,0.6494
08-13,rf,deepwalk,0.892,0.5209,0.7289,0.7289,0.6577
08-14,rf,heuristic,0.7038,0.6223,0.6802,0.6802,0.6605
08-14,rf,node2vec,0.6112,0.7025,0.6278,0.6278,0.6537
08-14,rf,deepwalk,0.8937,0.5296,0.7333,0.7333,0.6651
08-15,rf,heuristic,0.7013,0.6167,0.677,0.677,0.6563
08-15,rf,node2vec,0.6094,0.6957,0.6249,0.6249,0.6497
08-15,rf,deepwalk,0.8934,0.5297,0.7332,0.7332,0.6651
08-16,rf,heuristic,0.6972,0.6055,0.6713,0.6713,0.6481
08-16,rf,node2vec,0.6049,0.6818,0.6183,0.6183,0.6411
08-16,rf,deepwalk,0.8933,0.5293,0.733,0.733,0.6647
08-17,rf,heuristic,0.6948,0.5949,0.6668,0.6668,0.641
08-17,rf,node2vec,0.6118,0.7025,0.6284,0.6284,0.654
08-17,rf,deepwalk,0.8917,0.5116,0.7248,0.7247,0.6502
08-18,rf,heuristic,0.6963,0.6017,0.6696,0.6696,0.6456
08-18,rf,node2vec,0.6127,0.7031,0.6293,0.6293,0.6548
08-18,rf,deepwalk,0.8915,0.5117,0.7247,0.7247,0.6502
08-19,rf,heuristic,0.6997,0.61,0.6741,0.6741,0.6518
08-19,rf,node2vec,0.6075,0.6901,0.6221,0.6221,0.6462
08-19,rf,deepwalk,0.8929,0.5271,0.7319,0.7319,0.6628
08-20,rf,heuristic,0.6995,0.6138,0.6751,0.6751,0.6539
08-20,rf,node2vec,0.6094,0.6957,0.6249,0.6249,0.6497
08-20,rf,deepwalk,0.8938,0.5308,0.7339,0.7339,0.6661
08-21,rf,heuristic,0.6992,0.612,0.6744,0.6744,0.6527
08-21,rf,node2vec,0.6081,0.6912,0.6229,0.6229,0.647
08-21,rf,deepwalk,0.8936,0.528,0.7326,0.7326,0.6638
08-22,rf,heuristic,0.6971,0.6034,0.6706,0.6706,0.6469
08-22,rf,node2vec,0.6074,0.6876,0.6215,0.6215,0.645
08-22,rf,deepwalk,0.8925,0.521,0.7291,0.7291,0.658
08-23,rf,heuristic,0.6953,0.5974,0.6678,0.6678,0.6427
08-23,rf,node2vec,0.607,0.6895,0.6216,0.6216,0.6456
08-23,rf,deepwalk,0.8928,0.5193,0.7285,0.7285,0.6566
08-24,rf,heuristic,0.6935,0.5931,0.6655,0.6655,0.6394
08-24,rf,node2vec,0.6109,0.6999,0.6271,0.6271,0.6524
08-24,rf,deepwalk,0.89,0.5074,0.7223,0.7223,0.6463
08-25,rf,heuristic,0.697,0.6041,0.6707,0.6707,0.6472
08-25,rf,node2vec,0.6116,0.7017,0.628,0.628,0.6535
08-25,rf,deepwalk,0.8909,0.5164,0.7266,0.7266,0.6538
08-26,rf,heuristic,0.6983,0.6092,0.673,0.673,0.6507
08-26,rf,node2vec,0.6098,0.6978,0.6257,0.6257,0.6509
08-26,rf,deepwalk,0.8931,0.5215,0.7295,0.7295,0.6585
08-27,rf,heuristic,0.6982,0.6081,0.6726,0.6726,0.65
08-27,rf,node2vec,0.605,0.6825,0.6185,0.6185,0.6415
08-27,rf,deepwalk,0.8939,0.5261,0.7318,0.7318,0.6624
08-29,rf,heuristic,0.693,0.5874,0.6636,0.6636,0.6358
08-29,rf,node2vec,0.6093,0.6932,0.6244,0.6244,0.6486
08-29,rf,deepwalk,0.887,0.5015,0.7188,0.7188,0.6408
08-30,rf,heuristic,0.6898,0.5863,0.6613,0.6613,0.6339
08-30,rf,node2vec,0.605,0.6842,0.6187,0.6187,0.6422
08-30,rf,deepwalk,0.8884,0.5065,0.7215,0.7215,0.6452
08-31,rf,heuristic,0.6883,0.5818,0.6592,0.6592,0.6306
08-31,rf,node2vec,0.6111,0.7019,0.6276,0.6276,0.6533
08-31,rf,deepwalk,0.8883,0.5009,0.7189,0.7189,0.6406
09-01,rf,heuristic,0.694,0.5953,0.6664,0.6664,0.6409
09-01,rf,node2vec,0.6109,0.6996,0.627,0.627,0.6522
09-01,rf,deepwalk,0.8885,0.5046,0.7206,0.7206,0.6437
09-02,rf,heuristic,0.6982,0.6055,0.6719,0.6719,0.6486
09-02,rf,node2vec,0.6116,0.7011,0.6279,0.6279,0.6533
09-02,rf,deepwalk,0.8913,0.5166,0.7268,0.7268,0.6541
09-03,rf,heuristic,0.6948,0.5979,0.6677,0.6677,0.6427
09-03,rf,node2vec,0.6096,0.6935,0.6247,0.6247,0.6488
09-03,rf,deepwalk,0.8906,0.5118,0.7245,0.7245,0.65
09-04,rf,heuristic,0.6975,0.6053,0.6714,0.6714,0.6481
09-04,rf,node2vec,0.6109,0.6985,0.6268,0.6268,0.6518
09-04,rf,deepwalk,0.8902,0.5135,0.7251,0.7251,0.6513
09-05,rf,heuristic,0.6942,0.5957,0.6667,0.6667,0.6412
09-05,rf,node2vec,0.6054,0.6845,0.6191,0.6191,0.6425
09-05,rf,deepwalk,0.8898,0.5091,0.7231,0.7231,0.6477
09-06,rf,heuristic,0.6927,0.5886,0.6638,0.6638,0.6364
09-06,rf,node2vec,0.6057,0.6833,0.6192,0.6192,0.6422
09-06,rf,deepwalk,0.8891,0.5052,0.7211,0.7211,0.6443
09-07,rf,heuristic,0.6912,0.5861,0.6622,0.6622,0.6343
09-07,rf,node2vec,0.6107,0.6975,0.6264,0.6264,0.6512
09-07,rf,deepwalk,0.8901,0.5047,0.7212,0.7212,0.6441
09-08,rf,heuristic,0.6982,0.606,0.672,0.672,0.6488
09-08,rf,node2vec,0.6069,0.6872,0.621,0.621,0.6446
09-08,rf,deepwalk,0.892,0.5182,0.7277,0.7277,0.6556
09-09,rf,heuristic,0.6924,0.5944,0.6652,0.6652,0.6396
09-09,rf,node2vec,0.61,0.6998,0.6262,0.6262,0.6518
09-09,rf,deepwalk,0.8889,0.5052,0.721,0.721,0.6443
09-10,rf,heuristic,0.6912,0.5895,0.663,0.663,0.6363
09-10,rf,node2vec,0.6125,0.7031,0.6291,0.6291,0.6547
09-10,rf,deepwalk,0.8889,0.5005,0.7189,0.7189,0.6404
09-11,rf,heuristic,0.6987,0.6073,0.6727,0.6727,0.6498
09-11,rf,node2vec,0.606,0.6834,0.6195,0.6195,0.6424
09-11,rf,deepwalk,0.8927,0.5237,0.7304,0.7304,0.6602
09-12,rf,heuristic,0.696,0.6031,0.6699,0.6699,0.6463
09-12,rf,node2vec,0.6059,0.6854,0.6198,0.6198,0.6432
09-12,rf,deepwalk,0.8919,0.517,0.7272,0.7272,0.6546
09-13,rf,heuristic,0.6956,0.5998,0.6687,0.6687,0.6442
09-13,rf,node2vec,0.6003,0.6706,0.6121,0.6121,0.6335
09-13,rf,deepwalk,0.892,0.5194,0.7282,0.7282,0.6565
09-14,rf,heuristic,0.6955,0.599,0.6684,0.6684,0.6436
09-14,rf,node2vec,0.6074,0.6878,0.6216,0.6216,0.6451
09-14,rf,deepwalk,0.8916,0.5187,0.7278,0.7278,0.6559
09-15,rf,heuristic,0.6973,0.6041,0.6709,0.6709,0.6473
09-15,rf,node2vec,0.6096,0.6947,0.6249,0.6249,0.6494
09-15,rf,deepwalk,0.8929,0.5193,0.7285,0.7285,0.6567
09-16,rf,heuristic,0.6975,0.6049,0.6713,0.6713,0.6479
09-16,rf,node2vec,0.6108,0.6999,0.6269,0.6269,0.6523
09-16,rf,deepwalk,0.893,0.5204,0.729,0.729,0.6576
09-17,rf,heuristic,0.7016,0.6153,0.6768,0.6768,0.6557
09-17,rf,node2vec,0.6027,0.6778,0.6155,0.6155,0.638
09-17,rf,deepwalk,0.8947,0.5363,0.7366,0.7366,0.6707
09-18,rf,heuristic,0.6965,0.6054,0.6708,0.6708,0.6478
09-18,rf,node2vec,0.6094,0.6937,0.6245,0.6245,0.6488
09-18,rf,deepwalk,0.8925,0.5199,0.7286,0.7286,0.657
