day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-28,rf,heuristic,0.7128,0.6347,0.6895,0.6895,0.6715
07-28,rf,node2vec,0.6658,0.7741,0.6927,0.6927,0.7159
07-28,rf,deepwalk,0.7166,0.5636,0.6704,0.6704,0.631
07-29,rf,heuristic,0.7152,0.6402,0.6926,0.6926,0.6756
07-29,rf,node2vec,0.6663,0.7687,0.6918,0.6918,0.7138
07-29,rf,deepwalk,0.7154,0.5613,0.669,0.669,0.6291
07-30,rf,heuristic,0.7109,0.629,0.6866,0.6866,0.6674
07-30,rf,node2vec,0.6667,0.7683,0.6921,0.6921,0.7139
07-30,rf,deepwalk,0.714,0.5575,0.6671,0.6671,0.6261
07-31,rf,heuristic,0.7138,0.6348,0.6901,0.6901,0.672
07-31,rf,node2vec,0.6628,0.7592,0.6865,0.6865,0.7077
07-31,rf,deepwalk,0.7149,0.5603,0.6684,0.6684,0.6282
08-02,rf,heuristic,0.7125,0.6308,0.6882,0.6882,0.6692
08-02,rf,node2vec,0.6657,0.7725,0.6922,0.6922,0.7151
08-02,rf,deepwalk,0.715,0.5624,0.6691,0.6691,0.6295
