size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.4905,0.5137,0.4901,0.4901,0.5018
50000,rf,0.4905,0.5137,0.4901,0.4901,0.5018
100000,xgb,0.4352,0.4293,0.436,0.436,0.4322
100000,rf,0.4352,0.4293,0.436,0.436,0.4322
149999,xgb,0.5521,0.6893,0.5651,0.5651,0.6131
149999,rf,0.5521,0.6893,0.5651,0.5651,0.6131
199999,xgb,0.544,0.6311,0.551,0.551,0.5843
199999,rf,0.544,0.6311,0.551,0.551,0.5843
249999,xgb,0.5663,0.6844,0.5801,0.5801,0.6198
249999,rf,0.5663,0.6844,0.5801,0.5801,0.6198
299999,xgb,0.57,0.6799,0.5835,0.5835,0.6202
299999,rf,0.57,0.6799,0.5835,0.5835,0.6202
350000,xgb,0.5647,0.6549,0.5751,0.5751,0.6065
350000,rf,0.5647,0.6549,0.5751,0.5751,0.6065
