day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-28,rf,heuristic,0.6968,0.6006,0.6696,0.6696,0.6451
07-28,rf,node2vec,0.6708,0.6889,0.6754,0.6754,0.6797
07-28,rf,deepwalk,0.8008,0.438,0.6645,0.6645,0.5663
07-29,rf,heuristic,0.6984,0.6088,0.673,0.673,0.6505
07-29,rf,node2vec,0.6677,0.6806,0.6709,0.6709,0.6741
07-29,rf,deepwalk,0.8003,0.434,0.6629,0.6629,0.5628
07-30,rf,heuristic,0.6966,0.5997,0.6692,0.6692,0.6445
07-30,rf,node2vec,0.6668,0.6793,0.67,0.67,0.673
07-30,rf,deepwalk,0.8005,0.4344,0.6631,0.6631,0.5632
07-31,rf,heuristic,0.6975,0.6016,0.6703,0.6703,0.646
07-31,rf,node2vec,0.6658,0.6727,0.6675,0.6675,0.6692
07-31,rf,deepwalk,0.798,0.4288,0.6602,0.6602,0.5579
08-02,rf,heuristic,0.694,0.5965,0.6667,0.6667,0.6415
08-02,rf,node2vec,0.6669,0.6782,0.6697,0.6697,0.6725
08-02,rf,deepwalk,0.8021,0.4378,0.6649,0.6649,0.5664
08-03,rf,heuristic,0.6961,0.5994,0.6689,0.6689,0.6441
08-03,rf,node2vec,0.6694,0.6867,0.6738,0.6738,0.6779
08-03,rf,deepwalk,0.8022,0.4428,0.6668,0.6668,0.5706
08-04,rf,heuristic,0.6985,0.6092,0.6731,0.6731,0.6508
08-04,rf,node2vec,0.6682,0.6838,0.6721,0.6721,0.6759
08-04,rf,deepwalk,0.802,0.4396,0.6656,0.6656,0.568
08-05,rf,heuristic,0.7026,0.6207,0.679,0.679,0.6591
08-05,rf,node2vec,0.6665,0.6772,0.6692,0.6692,0.6718
08-05,rf,deepwalk,0.8012,0.4334,0.6629,0.6629,0.5625
08-06,rf,heuristic,0.697,0.6041,0.6707,0.6707,0.6472
08-06,rf,node2vec,0.6676,0.6814,0.671,0.671,0.6744
08-06,rf,deepwalk,0.8019,0.4395,0.6654,0.6654,0.5678
08-07,rf,heuristic,0.7042,0.6258,0.6815,0.6815,0.6627
08-07,rf,node2vec,0.6636,0.6686,0.6648,0.6648,0.6661
08-07,rf,deepwalk,0.7988,0.4276,0.66,0.66,0.5571
08-08,rf,heuristic,0.7001,0.6146,0.6757,0.6757,0.6546
08-08,rf,node2vec,0.663,0.6651,0.6635,0.6635,0.6641
08-08,rf,deepwalk,0.7983,0.4296,0.6605,0.6605,0.5586
08-09,rf,heuristic,0.6946,0.5967,0.6672,0.6672,0.6419
08-09,rf,node2vec,0.6696,0.6829,0.6729,0.6729,0.6762
08-09,rf,deepwalk,0.802,0.4379,0.6649,0.6649,0.5665
08-10,rf,heuristic,0.6993,0.6128,0.6746,0.6746,0.6532
08-10,rf,node2vec,0.6715,0.6912,0.6765,0.6765,0.6812
08-10,rf,deepwalk,0.8022,0.4394,0.6655,0.6655,0.5678
08-11,rf,heuristic,0.6979,0.6065,0.672,0.672,0.649
