day,model,method,precision,recall,roc_auc,accuracy,f1_score
08-11,rf,node2vec,0.6725,0.6952,0.6783,0.6783,0.6836
08-11,rf,deepwalk,0.8029,0.4421,0.6668,0.6668,0.5702
08-12,rf,heuristic,0.7004,0.6122,0.6751,0.6751,0.6533
08-12,rf,node2vec,0.6696,0.6861,0.6738,0.6738,0.6777
08-12,rf,deepwalk,0.801,0.4381,0.6646,0.6646,0.5664
08-13,rf,heuristic,0.6979,0.6058,0.6718,0.6718,0.6486
08-13,rf,node2vec,0.6685,0.6801,0.6714,0.6714,0.6742
08-13,rf,deepwalk,0.8012,0.4376,0.6645,0.6645,0.566
08-14,rf,heuristic,0.7014,0.6174,0.6772,0.6772,0.6567
08-14,rf,node2vec,0.6642,0.6696,0.6656,0.6656,0.6669
08-14,rf,deepwalk,0.7992,0.4283,0.6603,0.6603,0.5577
08-15,rf,heuristic,0.7001,0.6121,0.6749,0.6749,0.6532
08-15,rf,node2vec,0.6665,0.6765,0.669,0.669,0.6714
08-15,rf,deepwalk,0.8019,0.4343,0.6635,0.6635,0.5634
08-16,rf,heuristic,0.6957,0.6029,0.6696,0.6696,0.646
08-16,rf,node2vec,0.6684,0.6846,0.6725,0.6725,0.6764
08-16,rf,deepwalk,0.8017,0.4394,0.6653,0.6653,0.5677
08-17,rf,heuristic,0.692,0.591,0.664,0.664,0.6375
08-17,rf,node2vec,0.6707,0.6922,0.6761,0.6761,0.6813
08-17,rf,deepwalk,0.8015,0.44,0.6655,0.6655,0.5681
08-18,rf,heuristic,0.6953,0.5974,0.6678,0.6678,0.6426
08-18,rf,node2vec,0.6706,0.6908,0.6758,0.6758,0.6806
08-18,rf,deepwalk,0.8003,0.4367,0.6638,0.6638,0.565
08-19,rf,heuristic,0.6979,0.6064,0.672,0.672,0.649
08-19,rf,node2vec,0.6699,0.6866,0.6741,0.6741,0.6781
08-19,rf,deepwalk,0.802,0.4375,0.6648,0.6648,0.5662
08-20,rf,heuristic,0.699,0.6108,0.6739,0.6739,0.6519
08-20,rf,node2vec,0.6699,0.6858,0.6739,0.6739,0.6778
08-20,rf,deepwalk,0.8037,0.4418,0.667,0.667,0.5702
08-21,rf,heuristic,0.6994,0.6106,0.6741,0.6741,0.652
08-21,rf,node2vec,0.6654,0.6754,0.6679,0.6679,0.6704
08-21,rf,deepwalk,0.8004,0.4358,0.6636,0.6636,0.5643
08-22,rf,heuristic,0.6941,0.598,0.6672,0.6672,0.6424
08-22,rf,node2vec,0.6683,0.6803,0.6713,0.6713,0.6742
08-22,rf,deepwalk,0.7999,0.4321,0.662,0.662,0.5611
08-23,rf,heuristic,0.6941,0.5954,0.6665,0.6665,0.641
08-23,rf,node2vec,0.6687,0.6845,0.6727,0.6727,0.6765
08-23,rf,deepwalk,0.8007,0.4409,0.6656,0.6656,0.5687
08-24,rf,heuristic,0.6919,0.5921,0.6642,0.6642,0.6381
08-24,rf,node2vec,0.6691,0.6888,0.6741,0.6741,0.6788
08-24,rf,deepwalk,0.8015,0.4389,0.6651,0.6651,0.5672
08-25,rf,heuristic,0.6972,0.6006,0.6699,0.6699,0.6453
08-25,rf,node2vec,0.6715,0.6912,0.6766,0.6766,0.6812
08-25,rf,deepwalk,0.8017,0.4385,0.665,0.665,0.5669
08-26,rf,heuristic,0.6964,0.6057,0.6708,0.6708,0.6479
08-26,rf,node2vec,0.6684,0.6818,0.6717,0.6717,0.675
08-26,rf,deepwalk,0.7993,0.4337,0.6624,0.6624,0.5623
08-27,rf,heuristic,0.6974,0.605,0.6712,0.6712,0.6479
08-27,rf,node2vec,0.6681,0.68,0.6711,0.6711,0.674
08-27,rf,deepwalk,0.7992,0.4355,0.663,0.663,0.5638
08-29,rf,heuristic,0.6892,0.5838,0.6603,0.6603,0.6321
08-29,rf,node2vec,0.6669,0.6785,0.6698,0.6698,0.6727
08-29,rf,deepwalk,0.7985,0.4285,0.6602,0.6602,0.5577
08-30,rf,heuristic,0.6896,0.5833,0.6604,0.6604,0.632
08-30,rf,node2vec,0.6666,0.676,0.669,0.669,0.6713
08-30,rf,deepwalk,0.8007,0.4332,0.6627,0.6627,0.5622
08-31,rf,heuristic,0.6891,0.5832,0.66,0.66,0.6317
08-31,rf,node2vec,0.6676,0.6796,0.6706,0.6706,0.6736
08-31,rf,deepwalk,0.8014,0.4343,0.6633,0.6633,0.5633
09-01,rf,heuristic,0.6944,0.5936,0.6662,0.6662,0.64
09-01,rf,node2vec,0.6683,0.6839,0.6722,0.6722,0.676
09-01,rf,deepwalk,0.8,0.4341,0.6628,0.6628,0.5628
09-02,rf,heuristic,0.6975,0.6052,0.6714,0.6714,0.6481
09-02,rf,node2vec,0.6683,0.683,0.672,0.672,0.6756
09-02,rf,deepwalk,0.7978,0.4351,0.6624,0.6624,0.5631
09-03,rf,heuristic,0.6943,0.5976,0.6672,0.6672,0.6423
09-03,rf,node2vec,0.6679,0.6802,0.671,0.671,0.674
09-03,rf,deepwalk,0.8011,0.4379,0.6646,0.6646,0.5663
09-04,rf,heuristic,0.6955,0.6015,0.6691,0.6691,0.6451
09-04,rf,node2vec,0.6661,0.6751,0.6684,0.6684,0.6706
09-04,rf,deepwalk,0.799,0.43,0.6609,0.6609,0.5591
09-05,rf,heuristic,0.6932,0.5915,0.6648,0.6648,0.6383
09-05,rf,node2vec,0.6662,0.6761,0.6687,0.6687,0.6711
09-05,rf,deepwalk,0.798,0.4269,0.6594,0.6594,0.5562
09-06,rf,heuristic,0.6916,0.5868,0.6626,0.6626,0.6349
09-06,rf,node2vec,0.6656,0.6727,0.6673,0.6673,0.6691
09-06,rf,deepwalk,0.7998,0.4334,0.6624,0.6624,0.5622
09-07,rf,heuristic,0.6895,0.5841,0.6605,0.6605,0.6324
09-07,rf,node2vec,0.6692,0.6854,0.6733,0.6733,0.6772
09-07,rf,deepwalk,0.7999,0.4387,0.6645,0.6645,0.5666
09-08,rf,heuristic,0.6956,0.6031,0.6696,0.6696,0.6461
09-08,rf,node2vec,0.669,0.6838,0.6727,0.6727,0.6763
09-08,rf,deepwalk,0.7994,0.4342,0.6626,0.6626,0.5628
09-09,rf,heuristic,0.6934,0.5924,0.6652,0.6652,0.6389
09-09,rf,node2vec,0.6694,0.6832,0.6729,0.6729,0.6763
09-09,rf,deepwalk,0.7995,0.4362,0.6634,0.6634,0.5644
09-10,rf,heuristic,0.6911,0.5887,0.6628,0.6628,0.6358
09-10,rf,node2vec,0.6685,0.6833,0.6722,0.6722,0.6758
09-10,rf,deepwalk,0.8001,0.4356,0.6634,0.6634,0.5641
