day,model,method,precision,recall,roc_auc,accuracy,f1_score
08-22,rf,node2vec,0.6682,0.8027,0.7021,0.7021,0.7293
08-22,xgb,deepwalk,0.6567,0.6001,0.6432,0.6432,0.6271
08-22,rf,deepwalk,0.6567,0.6001,0.6432,0.6432,0.6271
08-23,xgb,heuristic,0.7261,0.6623,0.7062,0.7062,0.6927
08-23,rf,heuristic,0.7261,0.6623,0.7062,0.7062,0.6927
08-23,xgb,node2vec,0.6729,0.8201,0.7107,0.7107,0.7392
08-23,rf,node2vec,0.6729,0.8201,0.7107,0.7107,0.7392
08-23,xgb,deepwalk,0.652,0.6104,0.6423,0.6423,0.6305
08-23,rf,deepwalk,0.652,0.6104,0.6423,0.6423,0.6305
08-24,xgb,heuristic,0.7267,0.6584,0.7054,0.7054,0.6909
08-24,rf,heuristic,0.7267,0.6584,0.7054,0.7054,0.6909
08-24,xgb,node2vec,0.6684,0.7975,0.701,0.701,0.7273
08-24,rf,node2vec,0.6684,0.7975,0.701,0.701,0.7273
08-24,xgb,deepwalk,0.6551,0.605,0.6432,0.6432,0.6291
08-24,rf,deepwalk,0.6551,0.605,0.6432,0.6432,0.6291
08-25,xgb,heuristic,0.7276,0.6677,0.7088,0.7088,0.6963
08-25,rf,heuristic,0.7276,0.6677,0.7088,0.7088,0.6963
08-25,xgb,node2vec,0.6541,0.7557,0.678,0.678,0.7012
08-25,rf,node2vec,0.6541,0.7557,0.678,0.678,0.7012
08-25,xgb,deepwalk,0.6534,0.6007,0.641,0.641,0.626
08-25,rf,deepwalk,0.6534,0.6007,0.641,0.641,0.626
08-26,xgb,heuristic,0.7283,0.6731,0.711,0.711,0.6996
08-26,rf,heuristic,0.7283,0.6731,0.711,0.711,0.6996
08-26,xgb,node2vec,0.6742,0.8183,0.7114,0.7114,0.7393
08-26,rf,node2vec,0.6742,0.8183,0.7114,0.7114,0.7393
08-26,xgb,deepwalk,0.6454,0.5988,0.6349,0.6349,0.6212
08-26,rf,deepwalk,0.6454,0.5988,0.6349,0.6349,0.6212
08-27,xgb,heuristic,0.7308,0.6727,0.7124,0.7124,0.7005
08-27,rf,heuristic,0.7308,0.6727,0.7124,0.7124,0.7005
08-27,xgb,node2vec,0.6672,0.801,0.7007,0.7007,0.728
08-27,rf,node2vec,0.6672,0.801,0.7007,0.7007,0.728
08-27,xgb,deepwalk,0.662,0.6083,0.6489,0.6489,0.634
08-27,rf,deepwalk,0.662,0.6083,0.6489,0.6489,0.634
08-29,xgb,heuristic,0.7225,0.6529,0.7011,0.7011,0.686
08-29,rf,heuristic,0.7225,0.6529,0.7011,0.7011,0.686
08-29,xgb,node2vec,0.6683,0.8013,0.7018,0.7018,0.7288
08-29,rf,node2vec,0.6683,0.8013,0.7018,0.7018,0.7288
08-29,xgb,deepwalk,0.6553,0.6034,0.643,0.643,0.6283
08-29,rf,deepwalk,0.6553,0.6034,0.643,0.643,0.6283
08-30,xgb,heuristic,0.7224,0.6515,0.7005,0.7005,0.6851
08-30,rf,heuristic,0.7224,0.6515,0.7005,0.7005,0.6851
08-30,xgb,node2vec,0.6656,0.802,0.6995,0.6995,0.7275
08-30,rf,node2vec,0.6656,0.802,0.6995,0.6995,0.7275
08-30,xgb,deepwalk,0.6554,0.5918,0.6403,0.6403,0.622
08-30,rf,deepwalk,0.6554,0.5918,0.6403,0.6403,0.622
08-31,xgb,heuristic,0.7219,0.6521,0.7004,0.7004,0.6852
08-31,rf,heuristic,0.7219,0.6521,0.7004,0.7004,0.6852
08-31,xgb,node2vec,0.6653,0.8,0.6988,0.6988,0.7265
08-31,rf,node2vec,0.6653,0.8,0.6988,0.6988,0.7265
08-31,xgb,deepwalk,0.6464,0.6052,0.6371,0.6371,0.6251
08-31,rf,deepwalk,0.6464,0.6052,0.6371,0.6371,0.6251
