day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,xgb,heuristic,0.7265,0.6694,0.7087,0.7087,0.6968
07-29,rf,heuristic,0.7265,0.6694,0.7087,0.7087,0.6968
07-29,xgb,node2vec,0.6628,0.7839,0.6926,0.6926,0.7183
07-29,rf,node2vec,0.6628,0.7839,0.6926,0.6926,0.7183
07-29,xgb,deepwalk,0.6519,0.5951,0.6387,0.6387,0.6222
07-29,rf,deepwalk,0.6519,0.5951,0.6387,0.6387,0.6222
07-30,xgb,heuristic,0.7235,0.6552,0.7024,0.7024,0.6877
07-30,rf,heuristic,0.7235,0.6552,0.7024,0.7024,0.6877
07-30,xgb,node2vec,0.6716,0.8143,0.7081,0.7081,0.7361
07-30,rf,node2vec,0.6716,0.8143,0.7081,0.7081,0.7361
07-30,xgb,deepwalk,0.6644,0.6142,0.652,0.652,0.6383
07-30,rf,deepwalk,0.6644,0.6142,0.652,0.652,0.6383
07-31,xgb,heuristic,0.7256,0.6602,0.7053,0.7053,0.6914
07-31,rf,heuristic,0.7256,0.6602,0.7053,0.7053,0.6914
07-31,xgb,node2vec,0.6616,0.7851,0.6918,0.6918,0.7181
07-31,rf,node2vec,0.6616,0.7851,0.6918,0.6918,0.7181
07-31,xgb,deepwalk,0.6602,0.6014,0.6459,0.6459,0.6294
07-31,rf,deepwalk,0.6602,0.6014,0.6459,0.6459,0.6294
08-01,xgb,heuristic,0.723,0.6522,0.7012,0.7012,0.6858
08-01,rf,heuristic,0.723,0.6522,0.7012,0.7012,0.6858
08-01,xgb,node2vec,0.6651,0.7836,0.6945,0.6945,0.7195
08-01,rf,node2vec,0.6651,0.7836,0.6945,0.6945,0.7195
08-01,xgb,deepwalk,0.6499,0.5998,0.6383,0.6383,0.6238
08-01,rf,deepwalk,0.6499,0.5998,0.6383,0.6383,0.6238
08-02,xgb,heuristic,0.7248,0.6571,0.7038,0.7038,0.6893
08-02,rf,heuristic,0.7248,0.6571,0.7038,0.7038,0.6893
08-02,xgb,node2vec,0.6632,0.7894,0.6943,0.6943,0.7208
08-02,rf,node2vec,0.6632,0.7894,0.6943,0.6943,0.7208
08-02,xgb,deepwalk,0.6588,0.6108,0.6472,0.6472,0.6339
08-02,rf,deepwalk,0.6588,0.6108,0.6472,0.6472,0.6339
08-03,xgb,heuristic,0.7276,0.6658,0.7083,0.7083,0.6953
08-03,rf,heuristic,0.7276,0.6658,0.7083,0.7083,0.6953
08-03,xgb,node2vec,0.6697,0.809,0.705,0.705,0.7328
08-03,rf,node2vec,0.6697,0.809,0.705,0.705,0.7328
08-03,xgb,deepwalk,0.6637,0.6086,0.6501,0.6501,0.635
08-03,rf,deepwalk,0.6637,0.6086,0.6501,0.6501,0.635
08-04,xgb,heuristic,0.7249,0.6637,0.7059,0.7059,0.693
08-04,rf,heuristic,0.7249,0.6637,0.7059,0.7059,0.693
08-04,xgb,node2vec,0.6681,0.8066,0.7029,0.7029,0.7308
08-04,rf,node2vec,0.6681,0.8066,0.7029,0.7029,0.7308
08-04,xgb,deepwalk,0.6491,0.5866,0.6347,0.6347,0.6162
08-04,rf,deepwalk,0.6491,0.5866,0.6347,0.6347,0.6162
08-05,xgb,heuristic,0.7306,0.6805,0.7148,0.7148,0.7047
08-05,rf,heuristic,0.7306,0.6805,0.7148,0.7148,0.7047
08-05,xgb,node2vec,0.6617,0.7869,0.6923,0.6923,0.7189
08-05,rf,node2vec,0.6617,0.7869,0.6923,0.6923,0.7189
08-05,xgb,deepwalk,0.6614,0.6068,0.648,0.648,0.6329
08-05,rf,deepwalk,0.6614,0.6068,0.648,0.648,0.6329
08-06,xgb,heuristic,0.7264,0.6657,0.7075,0.7075,0.6947
08-06,rf,heuristic,0.7264,0.6657,0.7075,0.7075,0.6947
08-06,xgb,node2vec,0.6655,0.7914,0.6968,0.6968,0.723
08-06,rf,node2vec,0.6655,0.7914,0.6968,0.6968,0.723
08-06,xgb,deepwalk,0.6597,0.605,0.6465,0.6465,0.6312
08-06,rf,deepwalk,0.6597,0.605,0.6465,0.6465,0.6312
08-07,xgb,heuristic,0.7313,0.6841,0.7164,0.7164,0.7069
08-07,rf,heuristic,0.7313,0.6841,0.7164,0.7164,0.7069
08-07,xgb,node2vec,0.6487,0.7337,0.6682,0.6682,0.6886
08-07,rf,node2vec,0.6487,0.7337,0.6682,0.6682,0.6886
08-07,xgb,deepwalk,0.6531,0.586,0.6374,0.6374,0.6178
08-07,rf,deepwalk,0.6531,0.586,0.6374,0.6374,0.6178
08-08,xgb,heuristic,0.7274,0.6763,0.7114,0.7114,0.7009
08-08,rf,heuristic,0.7274,0.6763,0.7114,0.7114,0.7009
08-08,xgb,node2vec,0.6482,0.7384,0.6688,0.6688,0.6904
08-08,rf,node2vec,0.6482,0.7384,0.6688,0.6688,0.6904
08-08,xgb,deepwalk,0.6475,0.5893,0.6343,0.6343,0.6171
08-08,rf,deepwalk,0.6475,0.5893,0.6343,0.6343,0.6171
08-09,xgb,heuristic,0.7267,0.6692,0.7087,0.7087,0.6967
08-09,rf,heuristic,0.7267,0.6692,0.7087,0.7087,0.6967
08-09,xgb,node2vec,0.661,0.7868,0.6916,0.6916,0.7184
08-09,rf,node2vec,0.661,0.7868,0.6916,0.6916,0.7184
08-09,xgb,deepwalk,0.6453,0.6022,0.6356,0.6356,0.623
08-09,rf,deepwalk,0.6453,0.6022,0.6356,0.6356,0.623
08-10,xgb,heuristic,0.7276,0.6803,0.7128,0.7128,0.7032
08-10,rf,heuristic,0.7276,0.6803,0.7128,0.7128,0.7032
08-10,xgb,node2vec,0.6727,0.8248,0.7118,0.7118,0.7411
08-10,rf,node2vec,0.6727,0.8248,0.7118,0.7118,0.7411
08-10,xgb,deepwalk,0.6481,0.587,0.6341,0.6341,0.616
08-10,rf,deepwalk,0.6481,0.587,0.6341,0.6341,0.616
08-11,xgb,heuristic,0.7255,0.6662,0.7071,0.7071,0.6946
08-11,rf,heuristic,0.7255,0.6662,0.7071,0.7071,0.6946
08-11,xgb,node2vec,0.6654,0.792,0.6969,0.6969,0.7232
08-11,rf,node2vec,0.6654,0.792,0.6969,0.6969,0.7232
08-11,xgb,deepwalk,0.6503,0.6055,0.64,0.64,0.6271
08-11,rf,deepwalk,0.6503,0.6055,0.64,0.64,0.6271
08-12,xgb,heuristic,0.7298,0.672,0.7116,0.7116,0.6997
08-12,rf,heuristic,0.7298,0.672,0.7116,0.7116,0.6997
08-12,xgb,node2vec,0.6679,0.8013,0.7014,0.7014,0.7285
08-12,rf,node2vec,0.6679,0.8013,0.7014,0.7014,0.7285
08-12,xgb,deepwalk,0.6496,0.5744,0.6323,0.6323,0.6097
08-12,rf,deepwalk,0.6496,0.5744,0.6323,0.6323,0.6097
08-13,xgb,heuristic,0.7275,0.6683,0.709,0.709,0.6967
08-13,rf,heuristic,0.7275,0.6683,0.709,0.709,0.6967
08-13,xgb,node2vec,0.6544,0.7619,0.6798,0.6798,0.7041
08-13,rf,node2vec,0.6544,0.7619,0.6798,0.6798,0.7041
08-13,xgb,deepwalk,0.6516,0.5869,0.6366,0.6366,0.6176
08-13,rf,deepwalk,0.6516,0.5869,0.6366,0.6366,0.6176
08-14,xgb,heuristic,0.7321,0.68,0.7156,0.7156,0.7051
08-14,rf,heuristic,0.7321,0.68,0.7156,0.7156,0.7051
08-14,xgb,node2vec,0.6567,0.7582,0.6809,0.6809,0.7038
08-14,rf,node2vec,0.6567,0.7582,0.6809,0.6809,0.7038
08-14,xgb,deepwalk,0.6497,0.5964,0.6374,0.6374,0.6219
08-14,rf,deepwalk,0.6497,0.5964,0.6374,0.6374,0.6219
08-15,xgb,heuristic,0.7297,0.6777,0.7133,0.7133,0.7027
08-15,rf,heuristic,0.7297,0.6777,0.7133,0.7133,0.7027
08-15,xgb,node2vec,0.6624,0.7806,0.6914,0.6914,0.7166
08-15,rf,node2vec,0.6624,0.7806,0.6914,0.6914,0.7166
08-15,xgb,deepwalk,0.6558,0.6068,0.6442,0.6442,0.6304
08-15,rf,deepwalk,0.6558,0.6068,0.6442,0.6442,0.6304
08-16,xgb,heuristic,0.7292,0.6703,0.7107,0.7107,0.6985
08-16,rf,heuristic,0.7292,0.6703,0.7107,0.7107,0.6985
08-16,xgb,node2vec,0.6695,0.8056,0.7039,0.7039,0.7313
08-16,rf,node2vec,0.6695,0.8056,0.7039,0.7039,0.7313
08-16,xgb,deepwalk,0.6506,0.5989,0.6386,0.6386,0.6237
08-16,rf,deepwalk,0.6506,0.5989,0.6386,0.6386,0.6237
08-17,xgb,heuristic,0.7217,0.6567,0.7017,0.7017,0.6876
08-17,rf,heuristic,0.7217,0.6567,0.7017,0.7017,0.6876
08-17,xgb,node2vec,0.6738,0.8203,0.7116,0.7116,0.7399
08-17,rf,node2vec,0.6738,0.8203,0.7116,0.7116,0.7399
08-17,xgb,deepwalk,0.6603,0.6033,0.6465,0.6465,0.6305
08-17,rf,deepwalk,0.6603,0.6033,0.6465,0.6465,0.6305
08-18,xgb,heuristic,0.7249,0.6629,0.7057,0.7057,0.6925
08-18,rf,heuristic,0.7249,0.6629,0.7057,0.7057,0.6925
08-18,xgb,node2vec,0.6575,0.7717,0.6849,0.6849,0.71
08-18,rf,node2vec,0.6575,0.7717,0.6849,0.6849,0.71
08-18,xgb,deepwalk,0.638,0.5767,0.6248,0.6248,0.6058
08-18,rf,deepwalk,0.638,0.5767,0.6248,0.6248,0.6058
08-19,xgb,heuristic,0.7267,0.6682,0.7085,0.7085,0.6963
08-19,rf,heuristic,0.7267,0.6682,0.7085,0.7085,0.6963
08-19,xgb,node2vec,0.6754,0.8298,0.7155,0.7155,0.7447
08-19,rf,node2vec,0.6754,0.8298,0.7155,0.7155,0.7447
08-19,xgb,deepwalk,0.6613,0.5992,0.6461,0.6461,0.6287
08-19,rf,deepwalk,0.6613,0.5992,0.6461,0.6461,0.6287
08-20,xgb,heuristic,0.7278,0.671,0.71,0.71,0.6983
08-20,rf,heuristic,0.7278,0.671,0.71,0.71,0.6983
08-20,xgb,node2vec,0.6658,0.7966,0.6984,0.6984,0.7254
08-20,rf,node2vec,0.6658,0.7966,0.6984,0.6984,0.7254
08-20,xgb,deepwalk,0.6386,0.5878,0.6276,0.6276,0.6122
08-20,rf,deepwalk,0.6386,0.5878,0.6276,0.6276,0.6122
08-21,xgb,heuristic,0.7289,0.6735,0.7115,0.7115,0.7001
08-21,rf,heuristic,0.7289,0.6735,0.7115,0.7115,0.7001
08-21,xgb,node2vec,0.6686,0.8079,0.7037,0.7037,0.7317
08-21,rf,node2vec,0.6686,0.8079,0.7037,0.7037,0.7317
08-21,xgb,deepwalk,0.6597,0.5996,0.6452,0.6452,0.6283
08-21,rf,deepwalk,0.6597,0.5996,0.6452,0.6452,0.6283
08-22,xgb,heuristic,0.7254,0.6678,0.7075,0.7075,0.6954
08-22,rf,heuristic,0.7254,0.6678,0.7075,0.7075,0.6954
08-22,xgb,node2vec,0.6682,0.8027,0.7021,0.7021,0.7293
