day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-28,xgb,heuristic,0.7287,0.6696,0.7101,0.7101,0.6979
07-28,rf,heuristic,0.7287,0.6696,0.7101,0.7101,0.6979
07-28,xgb,node2vec,0.6473,0.7552,0.6719,0.6719,0.6971
07-28,rf,node2vec,0.6473,0.7552,0.6719,0.6719,0.6971
07-28,xgb,deepwalk,0.6378,0.6067,0.6311,0.6311,0.6218
07-28,rf,deepwalk,0.6378,0.6067,0.6311,0.6311,0.6218
07-29,xgb,heuristic,0.7288,0.6733,0.7114,0.7114,0.6999
07-29,rf,heuristic,0.7288,0.6733,0.7114,0.7114,0.6999
07-29,xgb,node2vec,0.6421,0.7432,0.6644,0.6644,0.6889
07-29,rf,node2vec,0.6421,0.7432,0.6644,0.6644,0.6889
07-29,xgb,deepwalk,0.6378,0.6016,0.63,0.63,0.6192
07-29,rf,deepwalk,0.6378,0.6016,0.63,0.63,0.6192
07-30,xgb,heuristic,0.7255,0.6625,0.7059,0.7059,0.6926
07-30,rf,heuristic,0.7255,0.6625,0.7059,0.7059,0.6926
07-30,xgb,node2vec,0.643,0.7506,0.6669,0.6669,0.6926
07-30,rf,node2vec,0.643,0.7506,0.6669,0.6669,0.6926
07-30,xgb,deepwalk,0.6486,0.6315,0.6447,0.6447,0.64
07-30,rf,deepwalk,0.6486,0.6315,0.6447,0.6447,0.64
07-31,xgb,heuristic,0.7252,0.6644,0.7063,0.7063,0.6935
07-31,rf,heuristic,0.7252,0.6644,0.7063,0.7063,0.6935
07-31,xgb,node2vec,0.6283,0.6974,0.6424,0.6424,0.6611
07-31,rf,node2vec,0.6283,0.6974,0.6424,0.6424,0.6611
07-31,xgb,deepwalk,0.6345,0.6088,0.6291,0.6291,0.6214
07-31,rf,deepwalk,0.6345,0.6088,0.6291,0.6291,0.6214
08-02,xgb,heuristic,0.7254,0.6718,0.7088,0.7088,0.6976
08-02,rf,heuristic,0.7254,0.6718,0.7088,0.7088,0.6976
08-02,xgb,node2vec,0.6655,0.8175,0.7033,0.7033,0.7337
