day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,rf,heuristic,0.709,0.6281,0.6851,0.6851,0.6661
07-29,rf,node2vec,0.6732,0.7355,0.6892,0.6892,0.703
07-29,rf,deepwalk,0.7709,0.5054,0.6776,0.6776,0.6105
07-30,rf,heuristic,0.7048,0.6151,0.6788,0.6788,0.6569
07-30,rf,node2vec,0.6741,0.7373,0.6904,0.6904,0.7043
07-30,rf,deepwalk,0.7716,0.5041,0.6775,0.6775,0.6098
07-31,rf,heuristic,0.7052,0.6174,0.6797,0.6797,0.6584
07-31,rf,node2vec,0.6672,0.7162,0.6794,0.6794,0.6908
07-31,rf,deepwalk,0.7697,0.5022,0.676,0.676,0.6078
08-01,rf,heuristic,0.6997,0.6041,0.6724,0.6724,0.6484
08-01,rf,node2vec,0.6692,0.7238,0.683,0.683,0.6954
08-01,rf,deepwalk,0.7703,0.503,0.6765,0.6765,0.6086
08-02,rf,heuristic,0.7034,0.6121,0.677,0.677,0.6546
08-02,rf,node2vec,0.6732,0.7355,0.6893,0.6893,0.703
08-02,rf,deepwalk,0.7729,0.5084,0.6795,0.6795,0.6133
08-03,rf,heuristic,0.7049,0.6161,0.6791,0.6791,0.6575
08-03,rf,node2vec,0.6704,0.7309,0.6858,0.6858,0.6993
08-03,rf,deepwalk,0.7742,0.5152,0.6825,0.6825,0.6187
08-04,rf,heuristic,0.7068,0.624,0.6825,0.6825,0.6628
08-04,rf,node2vec,0.6703,0.7254,0.6843,0.6843,0.6967
08-04,rf,deepwalk,0.7711,0.5079,0.6786,0.6786,0.6124
08-05,rf,heuristic,0.7129,0.6376,0.6904,0.6904,0.6731
08-05,rf,node2vec,0.6726,0.733,0.6881,0.6881,0.7015
08-05,rf,deepwalk,0.7726,0.5078,0.6792,0.6792,0.6128
08-06,rf,heuristic,0.7061,0.6227,0.6817,0.6817,0.6618
08-06,rf,node2vec,0.6741,0.7388,0.6908,0.6908,0.705
08-06,rf,deepwalk,0.7708,0.5051,0.6775,0.6775,0.6103
08-07,rf,heuristic,0.7132,0.6423,0.692,0.692,0.6759
08-07,rf,node2vec,0.6653,0.7128,0.6771,0.6771,0.6882
08-07,rf,deepwalk,0.7702,0.5044,0.6769,0.6769,0.6096
08-08,rf,heuristic,0.7117,0.6353,0.689,0.689,0.6714
08-08,rf,node2vec,0.6624,0.7014,0.672,0.672,0.6814
08-08,rf,deepwalk,0.7713,0.5035,0.6771,0.6771,0.6093
08-09,rf,heuristic,0.7048,0.6193,0.68,0.68,0.6593
08-09,rf,node2vec,0.6752,0.7459,0.6935,0.6935,0.7088
08-09,rf,deepwalk,0.7718,0.5103,0.6797,0.6797,0.6144
08-10,rf,heuristic,0.7094,0.6321,0.6865,0.6865,0.6685
08-10,rf,node2vec,0.6807,0.7601,0.7017,0.7017,0.7182
08-10,rf,deepwalk,0.7754,0.5175,0.6838,0.6838,0.6207
08-11,rf,heuristic,0.7081,0.6232,0.6832,0.6832,0.6629
08-11,rf,node2vec,0.6766,0.7421,0.6937,0.6937,0.7078
08-11,rf,deepwalk,0.7744,0.5102,0.6808,0.6808,0.6151
08-12,rf,heuristic,0.7098,0.6309,0.6865,0.6865,0.668
