day,model,method,precision,recall,roc_auc,accuracy,f1_score
08-12,rf,node2vec,0.6744,0.7385,0.6909,0.6909,0.705
08-12,rf,deepwalk,0.7717,0.5101,0.6796,0.6796,0.6142
08-13,rf,heuristic,0.7077,0.6243,0.6832,0.6832,0.6634
08-13,rf,node2vec,0.6721,0.7332,0.6878,0.6878,0.7013
08-13,rf,deepwalk,0.7707,0.5064,0.6778,0.6778,0.6112
08-14,rf,heuristic,0.7117,0.6363,0.6893,0.6893,0.6719
08-14,rf,node2vec,0.6669,0.7141,0.6787,0.6787,0.6897
08-14,rf,deepwalk,0.7713,0.5081,0.6787,0.6787,0.6126
08-15,rf,heuristic,0.7095,0.633,0.6869,0.6869,0.669
08-15,rf,node2vec,0.6707,0.7286,0.6855,0.6855,0.6985
08-15,rf,deepwalk,0.7731,0.5133,0.6813,0.6813,0.617
08-16,rf,heuristic,0.7068,0.6244,0.6827,0.6827,0.6631
08-16,rf,node2vec,0.6768,0.7538,0.6969,0.6969,0.7132
08-16,rf,deepwalk,0.7746,0.5147,0.6824,0.6824,0.6184
08-17,rf,heuristic,0.7016,0.6112,0.6756,0.6756,0.6533
08-17,rf,node2vec,0.6734,0.7352,0.6893,0.6893,0.7029
08-17,rf,deepwalk,0.7745,0.5139,0.6821,0.6821,0.6178
08-18,rf,heuristic,0.7033,0.616,0.6781,0.6781,0.6567
08-18,rf,node2vec,0.6715,0.7339,0.6874,0.6874,0.7013
08-18,rf,deepwalk,0.7721,0.5075,0.6789,0.6789,0.6125
08-19,rf,heuristic,0.7093,0.6263,0.6848,0.6848,0.6652
08-19,rf,node2vec,0.6762,0.7493,0.6952,0.6952,0.7109
08-19,rf,deepwalk,0.7719,0.5083,0.679,0.679,0.6129
08-20,rf,heuristic,0.7087,0.6299,0.6855,0.6855,0.667
08-20,rf,node2vec,0.6765,0.7443,0.6942,0.6942,0.7088
08-20,rf,deepwalk,0.7732,0.5122,0.681,0.681,0.6162
08-21,rf,heuristic,0.7083,0.6286,0.6849,0.6849,0.6661
08-21,rf,node2vec,0.6732,0.7399,0.6903,0.6903,0.7049
08-21,rf,deepwalk,0.7736,0.5087,0.6799,0.6799,0.6138
08-22,rf,heuristic,0.7049,0.6182,0.6797,0.6797,0.6587
08-22,rf,node2vec,0.677,0.7456,0.695,0.695,0.7097
08-22,rf,deepwalk,0.7705,0.5088,0.6786,0.6786,0.6129
08-23,rf,heuristic,0.7053,0.6145,0.6789,0.6789,0.6568
08-23,rf,node2vec,0.6743,0.7426,0.6919,0.6919,0.7068
08-23,rf,deepwalk,0.7737,0.5119,0.6811,0.6811,0.6161
08-24,rf,heuristic,0.7037,0.6126,0.6773,0.6773,0.655
08-24,rf,node2vec,0.6718,0.7307,0.6868,0.6868,0.7
08-24,rf,deepwalk,0.7712,0.5132,0.6805,0.6805,0.6163
08-25,rf,heuristic,0.7048,0.6186,0.6797,0.6797,0.6589
08-25,rf,node2vec,0.6744,0.7396,0.6912,0.6912,0.7055
08-25,rf,deepwalk,0.7724,0.508,0.6792,0.6792,0.6129
08-26,rf,heuristic,0.7073,0.6234,0.6827,0.6827,0.6627
08-26,rf,node2vec,0.6739,0.7399,0.691,0.691,0.7054
08-26,rf,deepwalk,0.7719,0.5087,0.6792,0.6792,0.6133
08-27,rf,heuristic,0.7086,0.6243,0.6838,0.6838,0.6638
08-27,rf,node2vec,0.6768,0.7491,0.6957,0.6957,0.7111
08-27,rf,deepwalk,0.7722,0.504,0.6777,0.6777,0.61
08-29,rf,heuristic,0.7016,0.6045,0.6737,0.6737,0.6494
08-29,rf,node2vec,0.6716,0.7304,0.6866,0.6866,0.6998
08-29,rf,deepwalk,0.7706,0.5043,0.6771,0.6771,0.6096
08-30,rf,heuristic,0.6991,0.6043,0.6721,0.6721,0.6483
08-30,rf,node2vec,0.6727,0.7385,0.6896,0.6896,0.7041
08-30,rf,deepwalk,0.7711,0.5056,0.6777,0.6777,0.6107
08-31,rf,heuristic,0.7015,0.6012,0.6726,0.6726,0.6474
08-31,rf,node2vec,0.6703,0.7247,0.6841,0.6841,0.6965
08-31,rf,deepwalk,0.7726,0.5109,0.6803,0.6803,0.6151
09-01,rf,heuristic,0.7031,0.6099,0.6762,0.6762,0.6532
09-01,rf,node2vec,0.6707,0.7306,0.6859,0.6859,0.6994
09-01,rf,deepwalk,0.7707,0.5031,0.6767,0.6767,0.6088
09-02,rf,heuristic,0.7074,0.6214,0.6822,0.6822,0.6616
09-02,rf,node2vec,0.6713,0.7314,0.6866,0.6866,0.7001
09-02,rf,deepwalk,0.7709,0.5062,0.6779,0.6779,0.6111
09-03,rf,heuristic,0.7028,0.6126,0.6768,0.6768,0.6546
09-03,rf,node2vec,0.6728,0.7361,0.689,0.689,0.703
09-03,rf,deepwalk,0.7715,0.5023,0.6767,0.6767,0.6084
09-04,rf,heuristic,0.7062,0.6207,0.6812,0.6812,0.6607
09-04,rf,node2vec,0.6704,0.7256,0.6844,0.6844,0.6969
09-04,rf,deepwalk,0.7705,0.5037,0.6768,0.6768,0.6091
09-05,rf,heuristic,0.704,0.6127,0.6775,0.6775,0.6552
09-05,rf,node2vec,0.6745,0.7393,0.6913,0.6913,0.7054
09-05,rf,deepwalk,0.7707,0.502,0.6763,0.6763,0.6079
09-06,rf,heuristic,0.7005,0.6049,0.6732,0.6732,0.6492
09-06,rf,node2vec,0.6718,0.7338,0.6876,0.6876,0.7014
09-06,rf,deepwalk,0.7708,0.5054,0.6775,0.6775,0.6105
09-07,rf,heuristic,0.7005,0.6062,0.6735,0.6735,0.65
09-07,rf,node2vec,0.6704,0.7294,0.6854,0.6854,0.6987
09-07,rf,deepwalk,0.7748,0.5118,0.6815,0.6815,0.6164
09-08,rf,heuristic,0.7071,0.6207,0.6818,0.6818,0.6611
09-08,rf,node2vec,0.6751,0.7411,0.6922,0.6922,0.7065
09-08,rf,deepwalk,0.7714,0.5042,0.6774,0.6774,0.6098
09-09,rf,heuristic,0.7024,0.6106,0.676,0.676,0.6533
09-09,rf,node2vec,0.6726,0.731,0.6876,0.6876,0.7006
09-09,rf,deepwalk,0.7707,0.5039,0.677,0.677,0.6094
09-10,rf,heuristic,0.6999,0.6044,0.6726,0.6726,0.6487
09-10,rf,node2vec,0.6712,0.7289,0.6859,0.6859,0.6988
09-10,rf,deepwalk,0.7695,0.5024,0.6759,0.6759,0.6079
09-11,rf,heuristic,0.7086,0.6238,0.6837,0.6837,0.6635
09-11,rf,node2vec,0.6765,0.7467,0.6948,0.6948,0.7099
09-11,rf,deepwalk,0.7711,0.505,0.6776,0.6776,0.6103
09-12,rf,heuristic,0.7072,0.6198,0.6816,0.6816,0.6606
09-12,rf,node2vec,0.6704,0.7285,0.6852,0.6852,0.6982
09-12,rf,deepwalk,0.771,0.502,0.6764,0.6764,0.6081
09-13,rf,heuristic,0.7047,0.6179,0.6795,0.6795,0.6584
09-13,rf,node2vec,0.6758,0.7446,0.6937,0.6937,0.7086
09-13,rf,deepwalk,0.7713,0.5057,0.6779,0.6779,0.6109
09-14,rf,heuristic,0.7047,0.6165,0.679,0.679,0.6576
09-14,rf,node2vec,0.6731,0.7363,0.6894,0.6894,0.7033
09-14,rf,deepwalk,0.7714,0.5094,0.6792,0.6792,0.6136
09-15,rf,heuristic,0.7051,0.6188,0.68,0.68,0.6591
09-15,rf,node2vec,0.6754,0.743,0.6929,0.6929,0.7076
09-15,rf,deepwalk,0.7716,0.5079,0.6788,0.6788,0.6126
09-16,rf,heuristic,0.7063,0.6183,0.6806,0.6806,0.6594
09-16,rf,node2vec,0.6719,0.7335,0.6877,0.6877,0.7014
09-16,rf,deepwalk,0.7697,0.5049,0.6769,0.6769,0.6097
09-17,rf,heuristic,0.7089,0.6293,0.6854,0.6854,0.6667
09-17,rf,node2vec,0.6776,0.7545,0.6978,0.6978,0.714
09-17,rf,deepwalk,0.7691,0.5008,0.6752,0.6752,0.6066
09-18,rf,heuristic,0.7065,0.6226,0.6819,0.6819,0.6619
09-18,rf,node2vec,0.6714,0.7315,0.6867,0.6867,0.7002
09-18,rf,deepwalk,0.7693,0.5035,0.6763,0.6763,0.6087
09-19,rf,heuristic,0.7036,0.6139,0.6776,0.6776,0.6557
09-19,rf,node2vec,0.6661,0.7122,0.6776,0.6776,0.6884
09-19,rf,deepwalk,0.7677,0.5004,0.6745,0.6745,0.6059
09-20,rf,heuristic,0.7108,0.6344,0.6881,0.6881,0.6704
09-20,rf,node2vec,0.6722,0.735,0.6883,0.6883,0.7022
09-20,rf,deepwalk,0.7726,0.5096,0.6798,0.6798,0.6141
09-21,rf,heuristic,0.7029,0.6118,0.6766,0.6766,0.6542
09-21,rf,node2vec,0.6716,0.7334,0.6874,0.6874,0.7012
09-21,rf,deepwalk,0.7733,0.5145,0.6818,0.6818,0.6179
09-22,rf,heuristic,0.705,0.6169,0.6794,0.6794,0.658
09-22,rf,node2vec,0.6753,0.7421,0.6926,0.6926,0.7071
09-22,rf,deepwalk,0.772,0.5064,0.6784,0.6784,0.6116
09-23,rf,heuristic,0.7068,0.6227,0.6822,0.6822,0.6621
09-23,rf,node2vec,0.6693,0.7238,0.6831,0.6831,0.6955
09-23,rf,deepwalk,0.7718,0.506,0.6782,0.6782,0.6113
09-24,rf,heuristic,0.7079,0.6272,0.6842,0.6842,0.6651
09-24,rf,node2vec,0.6779,0.7524,0.6974,0.6974,0.7132
09-24,rf,deepwalk,0.77,0.5026,0.6762,0.6762,0.6082
09-25,rf,heuristic,0.7114,0.6317,0.6877,0.6877,0.6692
09-25,rf,node2vec,0.6752,0.7426,0.6927,0.6927,0.7073
09-25,rf,deepwalk,0.7708,0.5046,0.6773,0.6773,0.6099
09-26,rf,heuristic,0.7009,0.6099,0.6748,0.6748,0.6522
09-26,rf,node2vec,0.6737,0.7395,0.6907,0.6907,0.7051
09-26,rf,deepwalk,0.7705,0.5048,0.6772,0.6772,0.61
09-27,rf,heuristic,0.7036,0.6121,0.6771,0.6771,0.6547
09-27,rf,node2vec,0.6698,0.7239,0.6836,0.6836,0.6958
09-27,rf,deepwalk,0.7707,0.5052,0.6774,0.6774,0.6103
09-28,rf,heuristic,0.7015,0.6056,0.674,0.674,0.65
09-28,rf,node2vec,0.6703,0.7282,0.685,0.685,0.6981
09-28,rf,deepwalk,0.7745,0.5139,0.6822,0.6821,0.6179
09-29,rf,heuristic,0.7066,0.6189,0.6809,0.6809,0.6598
09-29,rf,node2vec,0.6762,0.7456,0.6943,0.6943,0.7092
09-29,rf,deepwalk,0.7722,0.5078,0.679,0.679,0.6127
