size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.6566,0.7845,0.6871,0.6871,0.7149
49999,rf,0.6419,0.7316,0.6617,0.6617,0.6838
99999,xgb,0.6605,0.7807,0.6897,0.6897,0.7156
99999,rf,0.6621,0.781,0.6912,0.6912,0.7167
150000,xgb,0.6628,0.7771,0.6909,0.6909,0.7154
150000,rf,0.6696,0.8043,0.7038,0.7038,0.7308
199998,xgb,0.6671,0.7841,0.6964,0.6964,0.7209
199998,rf,0.6654,0.775,0.6926,0.6926,0.716
249998,xgb,0.6692,0.7757,0.6961,0.6961,0.7185
249998,rf,0.6685,0.7731,0.6948,0.6948,0.717
300000,xgb,0.6733,0.7713,0.6985,0.6985,0.719
300000,rf,0.668,0.7578,0.6906,0.6906,0.7101
349999,xgb,0.6748,0.7524,0.6949,0.6949,0.7115
349999,rf,0.674,0.7543,0.6948,0.6948,0.7119
399999,xgb,0.6799,0.749,0.6982,0.6982,0.7128
399999,rf,0.6738,0.7352,0.6897,0.6897,0.7032
449999,xgb,0.6817,0.731,0.6949,0.6949,0.7055
449999,rf,0.6762,0.7256,0.6891,0.6891,0.7001
499999,xgb,0.6812,0.7118,0.6893,0.6893,0.6961
499999,rf,0.6818,0.7196,0.6919,0.6919,0.7002
550000,xgb,0.6778,0.7199,0.6889,0.6889,0.6982
550000,rf,0.6766,0.7058,0.6842,0.6842,0.6909
