day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,rf,heuristic,0.6999,0.6136,0.6753,0.6753,0.6539
07-29,rf,node2vec,0.6828,0.6971,0.6866,0.6866,0.6899
07-29,rf,deepwalk,0.7716,0.4771,0.668,0.668,0.5897
07-30,rf,heuristic,0.6965,0.6004,0.6694,0.6694,0.6449
07-30,rf,node2vec,0.6835,0.6987,0.6876,0.6876,0.691
07-30,rf,deepwalk,0.771,0.473,0.6663,0.6663,0.5863
07-31,rf,heuristic,0.6964,0.601,0.6695,0.6695,0.6452
07-31,rf,node2vec,0.6774,0.681,0.6784,0.6784,0.6792
07-31,rf,deepwalk,0.7696,0.4708,0.6649,0.6649,0.5842
08-01,rf,heuristic,0.6929,0.5895,0.6641,0.6641,0.637
08-01,rf,node2vec,0.6793,0.6818,0.68,0.68,0.6806
08-01,rf,deepwalk,0.7669,0.4674,0.6626,0.6626,0.5808
08-02,rf,heuristic,0.6952,0.5959,0.6673,0.6673,0.6417
08-02,rf,node2vec,0.6815,0.6919,0.6843,0.6843,0.6867
08-02,rf,deepwalk,0.7703,0.4722,0.6657,0.6657,0.5855
08-03,rf,heuristic,0.6943,0.5988,0.6676,0.6676,0.643
08-03,rf,node2vec,0.6801,0.6889,0.6824,0.6824,0.6844
08-03,rf,deepwalk,0.7725,0.4771,0.6683,0.6683,0.5898
08-04,rf,heuristic,0.6987,0.6086,0.6731,0.6731,0.6506
08-04,rf,node2vec,0.6793,0.6857,0.681,0.681,0.6825
08-04,rf,deepwalk,0.7712,0.4747,0.667,0.667,0.5877
08-05,rf,heuristic,0.7039,0.6227,0.6804,0.6804,0.6608
08-05,rf,node2vec,0.6831,0.6947,0.6862,0.6862,0.6888
08-05,rf,deepwalk,0.7732,0.4823,0.6704,0.6704,0.5941
08-06,rf,heuristic,0.6981,0.6079,0.6725,0.6725,0.6499
08-06,rf,node2vec,0.6847,0.6991,0.6886,0.6886,0.6918
08-06,rf,deepwalk,0.7717,0.4765,0.6677,0.6677,0.5891
08-07,rf,heuristic,0.7063,0.6284,0.6836,0.6836,0.6651
08-07,rf,node2vec,0.6769,0.6755,0.6765,0.6765,0.6762
08-07,rf,deepwalk,0.7727,0.4801,0.6694,0.6694,0.5922
08-08,rf,heuristic,0.7028,0.6213,0.6793,0.6793,0.6596
08-08,rf,node2vec,0.6738,0.6678,0.6723,0.6723,0.6708
08-08,rf,deepwalk,0.7695,0.4742,0.6661,0.6661,0.5868
08-09,rf,heuristic,0.6965,0.6029,0.6701,0.6701,0.6463
08-09,rf,node2vec,0.6853,0.7014,0.6897,0.6897,0.6933
08-09,rf,deepwalk,0.7727,0.4787,0.6689,0.6689,0.5911
08-10,rf,heuristic,0.7014,0.6167,0.6771,0.6771,0.6563
08-10,rf,node2vec,0.6898,0.718,0.6976,0.6976,0.7036
08-10,rf,deepwalk,0.7763,0.4912,0.6748,0.6748,0.6017
08-11,rf,heuristic,0.6984,0.6097,0.6732,0.6732,0.651
08-11,rf,node2vec,0.6843,0.7019,0.689,0.689,0.693
08-11,rf,deepwalk,0.7729,0.4812,0.6699,0.6699,0.5931
08-12,rf,heuristic,0.7012,0.6169,0.677,0.677,0.6563
08-12,rf,node2vec,0.6832,0.6966,0.6868,0.6868,0.6898
08-12,rf,deepwalk,0.773,0.4812,0.6699,0.6699,0.5931
08-13,rf,heuristic,0.6993,0.6095,0.6737,0.6737,0.6513
08-13,rf,node2vec,0.682,0.6939,0.6852,0.6852,0.6879
08-13,rf,deepwalk,0.7721,0.4763,0.6678,0.6678,0.5891
08-14,rf,heuristic,0.7034,0.6225,0.68,0.68,0.6605
08-14,rf,node2vec,0.6777,0.6775,0.6776,0.6776,0.6776
08-14,rf,deepwalk,0.7741,0.4789,0.6696,0.6696,0.5918
08-15,rf,heuristic,0.7007,0.6159,0.6764,0.6764,0.6555
08-15,rf,node2vec,0.6802,0.6889,0.6825,0.6825,0.6845
08-15,rf,deepwalk,0.7723,0.4804,0.6694,0.6694,0.5923
08-16,rf,heuristic,0.6976,0.6061,0.6717,0.6717,0.6486
08-16,rf,node2vec,0.6876,0.7104,0.6938,0.6938,0.6988
08-16,rf,deepwalk,0.7723,0.4815,0.6698,0.6698,0.5932
08-17,rf,heuristic,0.6935,0.5951,0.6661,0.6661,0.6405
08-17,rf,node2vec,0.6819,0.6922,0.6847,0.6847,0.687
08-17,rf,deepwalk,0.7718,0.4778,0.6682,0.6682,0.5902
08-18,rf,heuristic,0.6951,0.6001,0.6684,0.6684,0.6441
08-18,rf,node2vec,0.6831,0.6935,0.6859,0.6859,0.6883
08-18,rf,deepwalk,0.77,0.4746,0.6664,0.6664,0.5873
08-19,rf,heuristic,0.6996,0.6101,0.6741,0.6741,0.6518
08-19,rf,node2vec,0.6865,0.7074,0.6922,0.6922,0.6968
