size,model,precision,recall,roc_auc,accuracy,f1_score
34993,xgb,0.7417,0.6782,0.7209,0.7209,0.7085
34993,rf,0.7417,0.6782,0.7209,0.7209,0.7085
69983,xgb,0.7774,0.723,0.758,0.758,0.7492
69983,rf,0.7774,0.723,0.758,0.758,0.7492
104970,xgb,0.7994,0.7569,0.7834,0.7834,0.7776
104970,rf,0.7994,0.7569,0.7834,0.7834,0.7776
139955,xgb,0.817,0.7803,0.8027,0.8027,0.7982
139955,rf,0.817,0.7803,0.8027,0.8027,0.7982
174938,xgb,0.8385,0.7992,0.8226,0.8226,0.8184
174938,rf,0.8385,0.7992,0.8226,0.8226,0.8184
209928,xgb,0.8562,0.8157,0.8393,0.8393,0.8355
209928,rf,0.8562,0.8157,0.8393,0.8393,0.8355
244900,xgb,0.8735,0.8284,0.8542,0.8542,0.8503
244900,rf,0.8735,0.8284,0.8542,0.8542,0.8503
279886,xgb,0.8885,0.8407,0.8676,0.8675,0.8639
279886,rf,0.8885,0.8407,0.8676,0.8675,0.8639
314858,xgb,0.9032,0.8533,0.8809,0.8809,0.8775
314858,rf,0.9032,0.8533,0.8809,0.8809,0.8775
