size,model,precision,recall,roc_auc,accuracy,f1_score
37436,xgb,0.9,0.3795,0.6687,0.6687,0.5339
37436,rf,0.9123,0.3133,0.6416,0.6416,0.4664
74883,xgb,0.8961,0.5847,0.7585,0.7585,0.7077
74883,rf,0.9274,0.4873,0.7246,0.7246,0.6389
112324,xgb,0.8503,0.5123,0.7111,0.7111,0.6394
112324,rf,0.8682,0.459,0.6947,0.6947,0.6005
149778,xgb,0.7377,0.1484,0.5478,0.5477,0.247
149778,rf,0.688,0.1068,0.5292,0.529,0.1848
187215,xgb,0.7601,0.1967,0.5673,0.567,0.3125
187215,rf,0.7297,0.1695,0.5533,0.553,0.275
224673,xgb,0.6145,0.0894,0.5166,0.5164,0.1561
224673,rf,0.3819,0.0327,0.4898,0.4896,0.0603
262111,xgb,0.6552,0.1183,0.528,0.5278,0.2003
262111,rf,0.4758,0.0513,0.4974,0.4972,0.0927
299579,xgb,0.7442,0.1786,0.5586,0.5585,0.288
299579,rf,0.6083,0.0873,0.5155,0.5155,0.1527
337001,xgb,0.7842,0.2026,0.5734,0.5733,0.3221
337001,rf,0.7277,0.1548,0.5484,0.5483,0.2552
