size,model,precision,recall,roc_auc,accuracy,f1_score
37436,xgb,0.8049,0.1988,0.5753,0.5753,0.3188
37436,rf,0.7234,0.2048,0.5633,0.5633,0.3192
74883,xgb,0.9065,0.5339,0.7394,0.7394,0.672
74883,rf,0.9167,0.5593,0.7542,0.7542,0.6947
112324,xgb,0.8816,0.5492,0.7377,0.7377,0.6768
112324,rf,0.8549,0.6762,0.7807,0.7807,0.7551
149778,xgb,0.8657,0.388,0.6639,0.6638,0.5358
149778,rf,0.8857,0.5096,0.7219,0.7218,0.647
187215,xgb,0.9148,0.666,0.8019,0.8018,0.7708
187215,rf,0.9279,0.8794,0.9055,0.9054,0.903
224673,xgb,0.8261,0.2472,0.5976,0.5973,0.3806
224673,rf,0.8356,0.2962,0.6189,0.6188,0.4374
262111,xgb,0.8418,0.33,0.634,0.6338,0.4741
262111,rf,0.8705,0.4591,0.6953,0.6952,0.6011
299579,xgb,0.9112,0.5402,0.7437,0.7437,0.6782
299579,rf,0.9073,0.6534,0.7933,0.7933,0.7597
337001,xgb,0.9273,0.7298,0.8363,0.8363,0.8168
337001,rf,0.9227,0.8964,0.9106,0.9106,0.9094
