size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.5445,0.208,0.517,0.517,0.301
50000,rf,0.5445,0.208,0.517,0.517,0.301
99999,xgb,0.6189,0.2408,0.5463,0.5463,0.3467
99999,rf,0.6189,0.2408,0.5463,0.5463,0.3467
149998,xgb,0.6569,0.2653,0.5633,0.5633,0.3779
149998,rf,0.6569,0.2653,0.5633,0.5633,0.3779
199998,xgb,0.6762,0.2845,0.5741,0.5741,0.4005
199998,rf,0.6762,0.2845,0.5741,0.5741,0.4005
249999,xgb,0.6677,0.2837,0.5712,0.5712,0.3982
249999,rf,0.6677,0.2837,0.5712,0.5712,0.3982
299998,xgb,0.7008,0.3008,0.5862,0.5862,0.4209
299998,rf,0.7008,0.3008,0.5862,0.5862,0.4209
349999,xgb,0.6891,0.2899,0.5796,0.5796,0.4081
349999,rf,0.6891,0.2899,0.5796,0.5796,0.4081
399999,xgb,0.7006,0.328,0.5939,0.5939,0.4468
399999,rf,0.7006,0.328,0.5939,0.5939,0.4468
449998,xgb,0.7112,0.3257,0.5967,0.5967,0.4467
449998,rf,0.7112,0.3257,0.5967,0.5967,0.4467
499998,xgb,0.7315,0.3426,0.6084,0.6084,0.4667
499998,rf,0.7315,0.3426,0.6084,0.6084,0.4667
549998,xgb,0.7135,0.3498,0.6047,0.6047,0.4694
549998,rf,0.7135,0.3498,0.6047,0.6047,0.4694
599998,xgb,0.7113,0.3403,0.6011,0.6011,0.4603
599998,rf,0.7113,0.3403,0.6011,0.6011,0.4603
649999,xgb,0.7096,0.3448,0.6019,0.6019,0.4641
649999,rf,0.7096,0.3448,0.6019,0.6019,0.4641
699999,xgb,0.7187,0.3424,0.6042,0.6042,0.4638
699999,rf,0.7187,0.3424,0.6042,0.6042,0.4638
999998,xgb,0.739,0.3457,0.6118,0.6118,0.4711
999998,rf,0.739,0.3457,0.6118,0.6118,0.4711
1999996,xgb,0.7952,0.3813,0.6416,0.6416,0.5155
1999996,rf,0.7952,0.3813,0.6416,0.6416,0.5155
