size,model,precision,recall,roc_auc,accuracy,f1_score
12034,xgb,0.7523,0.5943,0.6993,0.6993,0.664
12034,rf,0.7211,0.506,0.6551,0.6551,0.5947
57432,xgb,0.7659,0.5804,0.7015,0.7015,0.6604
57432,rf,0.7952,0.8033,0.7982,0.7982,0.7993
103137,xgb,0.8074,0.7544,0.7872,0.7872,0.78
103137,rf,0.7988,0.8182,0.806,0.806,0.8084
149637,xgb,0.8399,0.8249,0.8338,0.8338,0.8323
149637,rf,0.8263,0.8358,0.8301,0.8301,0.831
196478,xgb,0.8251,0.7994,0.815,0.815,0.8121
196478,rf,0.829,0.8399,0.8333,0.8333,0.8344
241890,xgb,0.8281,0.7883,0.8123,0.8123,0.8077
241890,rf,0.8238,0.8222,0.8232,0.8232,0.823
285516,xgb,0.8416,0.815,0.8308,0.8308,0.8281
285516,rf,0.8401,0.8418,0.8408,0.8408,0.841
333556,xgb,0.8446,0.8103,0.8306,0.8306,0.8271
333556,rf,0.8422,0.8233,0.8345,0.8345,0.8326
379423,xgb,0.8376,0.7964,0.821,0.821,0.8165
379423,rf,0.8382,0.8269,0.8336,0.8336,0.8325
427661,xgb,0.8371,0.7935,0.8196,0.8196,0.8148
427661,rf,0.8372,0.8129,0.8274,0.8274,0.8248
470719,xgb,0.8364,0.8,0.8217,0.8217,0.8178
470719,rf,0.8369,0.816,0.8285,0.8285,0.8263
517741,xgb,0.8417,0.7982,0.824,0.824,0.8194
517741,rf,0.8375,0.8009,0.8228,0.8228,0.8188
563612,xgb,0.8385,0.7988,0.8225,0.8225,0.8182
563612,rf,0.8412,0.8055,0.8267,0.8267,0.8229
608605,xgb,0.8412,0.805,0.8265,0.8265,0.8227
608605,rf,0.8423,0.8046,0.827,0.827,0.823
654561,xgb,0.8422,0.7887,0.8204,0.8204,0.8145
654561,rf,0.8438,0.7905,0.8221,0.8221,0.8163
700164,xgb,0.8346,0.7599,0.8047,0.8047,0.7955
700164,rf,0.8408,0.7803,0.8163,0.8163,0.8094
748313,xgb,0.8319,0.7686,0.8066,0.8066,0.799
748313,rf,0.8399,0.7808,0.816,0.816,0.8093
